Año	Código del municipio	Nombre del municipio	Personas que son mano de obra familiar	Personas que son mano de obra familiar hombres	Personas que son mano de obra familiar mujeres	Personas que son mano de obra familiar <35 años	Personas que son mano de obra familiar de 35 a 45 años	Personas que son mano de obra familiar de 55 a 64 años	Personas que son mano de obra familiar de más de 65 años
1989	22001	Abiego	124	85	39	23	56	32	13
1989	22002	Abizanda	53	46	7	8	23	12	10
1989	22003	Adahuesca	69	67	2	7	23	20	19
1989	22004	Agüero	62	52	10	4	10	18	30
1989	22006	Aísa	63	46	17	5	22	19	17
1989	22007	Albalate de Cinca	448	349	99	101	156	107	84
1989	22008	Albalatillo	24	20	4	2	10	2	10
1989	22009	Albelda	595	411	184	161	221	143	70
1989	22011	Albero Alto	29	27	2	3	12	11	3
1989	22012	Albero Bajo	53	44	9	13	22	13	5
1989	22013	Alberuela de Tubo	102	89	13	28	40	17	17
1989	22014	Alcalá de Gurrea	39	37	2	11	17	5	6
1989	22015	Alcalá del Obispo	108	96	12	10	41	23	34
1989	22016	Alcampell	426	294	132	68	156	123	79
1989	22017	Alcolea de Cinca	373	322	51	57	132	115	69
1989	22018	Alcubierre	148	121	27	17	50	46	35
1989	22019	Alerre	17	16	1	2	6	7	2
1989	22020	Alfántega	44	34	10	12	20	5	7
1989	22021	Almudévar	622	553	69	93	245	180	104
1989	22022	Almunia de San Juan	124	108	16	14	43	35	32
1989	22023	Almuniente	149	140	9	37	75	21	16
1989	22024	Alquézar	112	100	12	15	29	36	32
1989	22025	Altorricón	531	363	168	123	208	127	73
1989	22027	Angüés	127	123	4	10	38	35	44
1989	22028	Ansó	33	29	4	1	17	13	2
1989	22029	Antillón	48	42	6	6	22	13	7
1989	22032	Aragüés del Puerto	38	34	4	6	8	18	6
1989	22035	Arén	108	90	18	17	34	40	17
1989	22036	Argavieso	45	42	3	5	17	13	10
1989	22037	Arguis	16	14	2	0	6	6	4
1989	22039	Ayerbe	245	223	22	19	71	75	80
1989	22040	Azanuy-Alins	100	87	13	7	33	32	28
1989	22041	Azara	85	57	28	14	32	22	17
1989	22042	Azlor	73	55	18	16	24	19	14
1989	22043	Baells	59	50	9	5	36	9	9
1989	22044	Bailo	107	86	21	14	38	29	26
1989	22045	Baldellou	84	74	10	8	25	23	28
1989	22046	Ballobar	336	254	82	91	117	84	44
1989	22047	Banastás	6	5	1	0	3	2	1
1989	22048	Barbastro	819	667	152	95	285	238	201
1989	22049	Barbués	53	50	3	17	19	13	4
1989	22050	Barbuñales	35	34	1	3	13	12	7
1989	22051	Bárcabo	58	47	11	14	18	20	6
1989	22052	Belver de Cinca	399	344	55	109	149	93	48
1989	22053	Benabarre	298	235	63	48	124	63	63
1989	22054	Benasque	70	57	13	5	20	20	25
1989	22055	Berbegal	119	93	26	18	55	33	13
1989	22057	Bielsa	116	91	25	10	35	41	30
1989	22058	Bierge	193	144	49	20	46	53	74
1989	22059	Biescas	344	213	131	46	91	111	96
1989	22060	Binaced	529	361	168	140	191	113	85
1989	22061	Binéfar	244	194	50	32	100	83	29
1989	22062	Bisaurri	86	63	23	13	34	23	16
1989	22063	Biscarrués	74	69	5	9	23	22	20
1989	22064	Blecua y Torres	64	62	2	13	25	12	14
1989	22066	Boltaña	97	78	19	12	22	24	39
1989	22067	Bonansa	30	19	11	8	11	7	4
1989	22068	Borau	31	20	11	4	10	8	9
1989	22069	Broto	191	157	34	32	51	83	25
1989	22072	Caldearenas	78	70	8	16	27	18	17
1989	22074	Campo	40	34	6	5	12	9	14
1989	22075	Camporrells	156	117	39	16	47	39	54
1989	22076	Canal de Berdún	147	127	20	23	38	53	33
1989	22077	Candasnos	110	101	9	26	53	21	10
1989	22078	Canfranc	5	3	2	0	2	1	2
1989	22079	Capdesaso	56	50	6	11	20	17	8
1989	22080	Capella	175	138	37	16	60	47	52
1989	22081	Casbas de Huesca	185	146	39	28	77	42	38
1989	22082	Castejón del Puente	86	75	11	14	33	20	19
1989	22083	Castejón de Monegros	199	179	20	33	68	46	52
1989	22084	Castejón de Sos	70	54	16	4	24	15	27
1989	22085	Castelflorite	64	55	9	11	33	13	7
1989	22086	Castiello de Jaca	42	24	18	6	10	12	14
1989	22087	Castigaleu	33	26	7	7	16	8	2
1989	22088	Castillazuelo	96	92	4	7	21	18	50
1989	22089	Castillonroy	212	140	72	61	79	41	31
1989	22090	Colungo	94	76	18	12	30	21	31
1989	22094	Chalamera	72	54	18	23	23	21	5
1989	22095	Chía	37	30	7	6	13	12	6
