Mes y año	Mes (código)	Mes nombre	Año	Sexo	Número de contratos	Sector código	Sector descripción	CCAA nombre
Enero 2017	201701	Enero	2017	Hombres	13	1	Agricultura, ganadería y pesca	Aragón
Enero 2017	201701	Enero	2017	Mujeres	3	1	Agricultura, ganadería y pesca	Aragón
Enero 2017	201701	Enero	2017	Hombres	65	2	Industria y energía	Aragón
Enero 2017	201701	Enero	2017	Mujeres	44	2	Industria y energía	Aragón
Enero 2017	201701	Enero	2017	Hombres	19	3	Construcción	Aragón
Enero 2017	201701	Enero	2017	Mujeres	2	3	Construcción	Aragón
Enero 2017	201701	Enero	2017	Hombres	199	4	Servicios	Aragón
Enero 2017	201701	Enero	2017	Mujeres	391	4	Servicios	Aragón
Diciembre 2016	201612	Diciembre	2016	Hombres	11	1	Agricultura, ganadería y pesca	Aragón
Diciembre 2016	201612	Diciembre	2016	Mujeres	1	1	Agricultura, ganadería y pesca	Aragón
Diciembre 2016	201612	Diciembre	2016	Hombres	50	2	Industria y energía	Aragón
Diciembre 2016	201612	Diciembre	2016	Mujeres	22	2	Industria y energía	Aragón
Diciembre 2016	201612	Diciembre	2016	Hombres	12	3	Construcción	Aragón
Diciembre 2016	201612	Diciembre	2016	Mujeres	7	3	Construcción	Aragón
Diciembre 2016	201612	Diciembre	2016	Hombres	164	4	Servicios	Aragón
Diciembre 2016	201612	Diciembre	2016	Mujeres	332	4	Servicios	Aragón
Noviembre 2016	201611	Noviembre	2016	Hombres	20	1	Agricultura, ganadería y pesca	Aragón
Noviembre 2016	201611	Noviembre	2016	Mujeres	2	1	Agricultura, ganadería y pesca	Aragón
Noviembre 2016	201611	Noviembre	2016	Hombres	76	2	Industria y energía	Aragón
Noviembre 2016	201611	Noviembre	2016	Mujeres	41	2	Industria y energía	Aragón
Noviembre 2016	201611	Noviembre	2016	Hombres	9	3	Construcción	Aragón
Noviembre 2016	201611	Noviembre	2016	Mujeres	6	3	Construcción	Aragón
Noviembre 2016	201611	Noviembre	2016	Hombres	225	4	Servicios	Aragón
Noviembre 2016	201611	Noviembre	2016	Mujeres	398	4	Servicios	Aragón
Octubre 2016	201610	Octubre	2016	Hombres	12	1	Agricultura, ganadería y pesca	Aragón
Octubre 2016	201610	Octubre	2016	Mujeres	6	1	Agricultura, ganadería y pesca	Aragón
Octubre 2016	201610	Octubre	2016	Hombres	74	2	Industria y energía	Aragón
Octubre 2016	201610	Octubre	2016	Mujeres	36	2	Industria y energía	Aragón
Octubre 2016	201610	Octubre	2016	Hombres	28	3	Construcción	Aragón
Octubre 2016	201610	Octubre	2016	Mujeres	8	3	Construcción	Aragón
Octubre 2016	201610	Octubre	2016	Hombres	248	4	Servicios	Aragón
Octubre 2016	201610	Octubre	2016	Mujeres	419	4	Servicios	Aragón
Septiembre 2016	201609	Septiembre	2016	Hombres	17	1	Agricultura, ganadería y pesca	Aragón
Septiembre 2016	201609	Septiembre	2016	Mujeres	4	1	Agricultura, ganadería y pesca	Aragón
Septiembre 2016	201609	Septiembre	2016	Hombres	91	2	Industria y energía	Aragón
Septiembre 2016	201609	Septiembre	2016	Mujeres	43	2	Industria y energía	Aragón
Septiembre 2016	201609	Septiembre	2016	Hombres	27	3	Construcción	Aragón
Septiembre 2016	201609	Septiembre	2016	Mujeres	10	3	Construcción	Aragón
Septiembre 2016	201609	Septiembre	2016	Hombres	266	4	Servicios	Aragón
Septiembre 2016	201609	Septiembre	2016	Mujeres	479	4	Servicios	Aragón
Agosto 2016	201608	Agosto	2016	Hombres	7	1	Agricultura, ganadería y pesca	Aragón
Agosto 2016	201608	Agosto	2016	Mujeres	2	1	Agricultura, ganadería y pesca	Aragón
Agosto 2016	201608	Agosto	2016	Hombres	52	2	Industria y energía	Aragón
Agosto 2016	201608	Agosto	2016	Mujeres	34	2	Industria y energía	Aragón
Agosto 2016	201608	Agosto	2016	Hombres	10	3	Construcción	Aragón
Agosto 2016	201608	Agosto	2016	Mujeres	3	3	Construcción	Aragón
Agosto 2016	201608	Agosto	2016	Hombres	166	4	Servicios	Aragón
Agosto 2016	201608	Agosto	2016	Mujeres	336	4	Servicios	Aragón
Julio 2016	201607	Julio	2016	Hombres	13	1	Agricultura, ganadería y pesca	Aragón
Julio 2016	201607	Julio	2016	Mujeres	6	1	Agricultura, ganadería y pesca	Aragón
Julio 2016	201607	Julio	2016	Hombres	76	2	Industria y energía	Aragón
Julio 2016	201607	Julio	2016	Mujeres	43	2	Industria y energía	Aragón
Julio 2016	201607	Julio	2016	Hombres	18	3	Construcción	Aragón
Julio 2016	201607	Julio	2016	Mujeres	5	3	Construcción	Aragón
Julio 2016	201607	Julio	2016	Hombres	264	4	Servicios	Aragón
Julio 2016	201607	Julio	2016	Mujeres	365	4	Servicios	Aragón
Junio 2016	201606	Junio	2016	Hombres	8	1	Agricultura, ganadería y pesca	Aragón
Junio 2016	201606	Junio	2016	Mujeres	5	1	Agricultura, ganadería y pesca	Aragón
Junio 2016	201606	Junio	2016	Hombres	85	2	Industria y energía	Aragón
Junio 2016	201606	Junio	2016	Mujeres	40	2	Industria y energía	Aragón
Junio 2016	201606	Junio	2016	Hombres	13	3	Construcción	Aragón
Junio 2016	201606	Junio	2016	Mujeres	5	3	Construcción	Aragón
Junio 2016	201606	Junio	2016	Hombres	211	4	Servicios	Aragón
Junio 2016	201606	Junio	2016	Mujeres	396	4	Servicios	Aragón
Mayo 2016	201605	Mayo	2016	Hombres	14	1	Agricultura, ganadería y pesca	Aragón
Mayo 2016	201605	Mayo	2016	Mujeres	2	1	Agricultura, ganadería y pesca	Aragón
Mayo 2016	201605	Mayo	2016	Hombres	52	2	Industria y energía	Aragón
Mayo 2016	201605	Mayo	2016	Mujeres	52	2	Industria y energía	Aragón
Mayo 2016	201605	Mayo	2016	Hombres	16	3	Construcción	Aragón
Mayo 2016	201605	Mayo	2016	Mujeres	12	3	Construcción	Aragón
Mayo 2016	201605	Mayo	2016	Hombres	221	4	Servicios	Aragón
Mayo 2016	201605	Mayo	2016	Mujeres	385	4	Servicios	Aragón
Abril 2016	201604	Abril	2016	Hombres	17	1	Agricultura, ganadería y pesca	Aragón
Abril 2016	201604	Abril	2016	Hombres	54	2	Industria y energía	Aragón
Abril 2016	201604	Abril	2016	Mujeres	50	2	Industria y energía	Aragón
Abril 2016	201604	Abril	2016	Hombres	18	3	Construcción	Aragón
Abril 2016	201604	Abril	2016	Mujeres	7	3	Construcción	Aragón
Abril 2016	201604	Abril	2016	Hombres	210	4	Servicios	Aragón
Abril 2016	201604	Abril	2016	Mujeres	407	4	Servicios	Aragón
Marzo 2016	201603	Marzo	2016	Hombres	15	1	Agricultura, ganadería y pesca	Aragón
Marzo 2016	201603	Marzo	2016	Mujeres	1	1	Agricultura, ganadería y pesca	Aragón
Marzo 2016	201603	Marzo	2016	Hombres	61	2	Industria y energía	Aragón
Marzo 2016	201603	Marzo	2016	Mujeres	36	2	Industria y energía	Aragón
Marzo 2016	201603	Marzo	2016	Hombres	17	3	Construcción	Aragón
Marzo 2016	201603	Marzo	2016	Mujeres	4	3	Construcción	Aragón
Marzo 2016	201603	Marzo	2016	Hombres	202	4	Servicios	Aragón
Marzo 2016	201603	Marzo	2016	Mujeres	369	4	Servicios	Aragón
Febrero 2016	201602	Febrero	2016	Hombres	10	1	Agricultura, ganadería y pesca	Aragón
Febrero 2016	201602	Febrero	2016	Mujeres	2	1	Agricultura, ganadería y pesca	Aragón
Febrero 2016	201602	Febrero	2016	Hombres	71	2	Industria y energía	Aragón
Febrero 2016	201602	Febrero	2016	Mujeres	52	2	Industria y energía	Aragón
Febrero 2016	201602	Febrero	2016	Hombres	14	3	Construcción	Aragón
Febrero 2016	201602	Febrero	2016	Mujeres	13	3	Construcción	Aragón
Febrero 2016	201602	Febrero	2016	Hombres	189	4	Servicios	Aragón
Febrero 2016	201602	Febrero	2016	Mujeres	353	4	Servicios	Aragón
Enero 2016	201601	Enero	2016	Hombres	9	1	Agricultura, ganadería y pesca	Aragón
Enero 2016	201601	Enero	2016	Mujeres	1	1	Agricultura, ganadería y pesca	Aragón
Enero 2016	201601	Enero	2016	Hombres	74	2	Industria y energía	Aragón
Enero 2016	201601	Enero	2016	Mujeres	45	2	Industria y energía	Aragón
Enero 2016	201601	Enero	2016	Hombres	7	3	Construcción	Aragón
Enero 2016	201601	Enero	2016	Mujeres	3	3	Construcción	Aragón
Enero 2016	201601	Enero	2016	Hombres	153	4	Servicios	Aragón
Enero 2016	201601	Enero	2016	Mujeres	336	4	Servicios	Aragón
Diciembre 2015	201512	Diciembre	2015	Hombres	7	1	Agricultura, ganadería y pesca	Aragón
Diciembre 2015	201512	Diciembre	2015	Mujeres	2	1	Agricultura, ganadería y pesca	Aragón
Diciembre 2015	201512	Diciembre	2015	Hombres	45	2	Industria y energía	Aragón
Diciembre 2015	201512	Diciembre	2015	Mujeres	28	2	Industria y energía	Aragón
Diciembre 2015	201512	Diciembre	2015	Hombres	4	3	Construcción	Aragón
Diciembre 2015	201512	Diciembre	2015	Mujeres	3	3	Construcción	Aragón
Diciembre 2015	201512	Diciembre	2015	Hombres	150	4	Servicios	Aragón
Diciembre 2015	201512	Diciembre	2015	Mujeres	322	4	Servicios	Aragón
Noviembre 2015	201511	Noviembre	2015	Hombres	10	1	Agricultura, ganadería y pesca	Aragón
