Comarca código	Comarca nombre	Municipio trabajo, código	Municipio trabajo, nombre	Personas residentes viviendas familiares
01	La Jacetania	50297	Zaragoza	344
01	La Jacetania	22199	Sabiñánigo	233
01	La Jacetania	22125	Huesca	129
01	La Jacetania	28079	Madrid	49
01	La Jacetania	31201	Pamplona/Iruña	36
01	La Jacetania	08019	Barcelona	25
01	La Jacetania	22059	Biescas	23
01	La Jacetania	22204	Sallent de Gállego	12
01	La Jacetania	22112	Fraga	10
01	La Jacetania	31216	Sangüesa/Zangoza	10
02	Alto Gállego	50297	Zaragoza	253
02	Alto Gállego	22130	Jaca	207
02	Alto Gállego	22125	Huesca	135
02	Alto Gállego	28079	Madrid	32
02	Alto Gállego	08019	Barcelona	24
02	Alto Gállego	22078	Canfranc	17
02	Alto Gállego	31201	Pamplona/Iruña	10
02	Alto Gállego	22048	Barbastro	7
02	Alto Gállego	22230	Torla	5
02	Alto Gállego	46250	Valencia	5
03	Sobrarbe	50297	Zaragoza	153
03	Sobrarbe	22125	Huesca	99
03	Sobrarbe	08019	Barcelona	53
03	Sobrarbe	22048	Barbastro	53
03	Sobrarbe	25120	Lleida	17
03	Sobrarbe	28079	Madrid	16
03	Sobrarbe	22158	Monzón	15
03	Sobrarbe	22117	Graus	11
03	Sobrarbe	25243	Vielha e Mijaran	8
03	Sobrarbe	22059	Biescas	7
03	Sobrarbe	22199	Sabiñánigo	7
03	Sobrarbe	31201	Pamplona/Iruña	7
04	La Ribagorza	50297	Zaragoza	163
04	La Ribagorza	08019	Barcelona	132
04	La Ribagorza	22048	Barbastro	100
04	La Ribagorza	22125	Huesca	92
04	La Ribagorza	25120	Lleida	61
04	La Ribagorza	22158	Monzón	37
04	La Ribagorza	22115	Grado (El)	21
04	La Ribagorza	25173	Pont de Suert (El)	21
04	La Ribagorza	22061	Binéfar	19
04	La Ribagorza	28079	Madrid	19
05	Cinco Villas	50297	Zaragoza	1351
05	Cinco Villas	50107	Figueruelas	98
05	Cinco Villas	22125	Huesca	55
05	Cinco Villas	31201	Pamplona/Iruña	52
05	Cinco Villas	31216	Sangüesa/Zangoza	47
05	Cinco Villas	28079	Madrid	35
05	Cinco Villas	31232	Tudela	31
05	Cinco Villas	50008	Alagón	27
05	Cinco Villas	50298	Zuera	27
05	Cinco Villas	08019	Barcelona	26
06	Hoya de Huesca / Plana de Uesca	50297	Zaragoza	904
06	Hoya de Huesca / Plana de Uesca	22048	Barbastro	262
06	Hoya de Huesca / Plana de Uesca	22130	Jaca	148
06	Hoya de Huesca / Plana de Uesca	28079	Madrid	147
06	Hoya de Huesca / Plana de Uesca	50298	Zuera	138
06	Hoya de Huesca / Plana de Uesca	22116	Grañén	106
06	Hoya de Huesca / Plana de Uesca	22158	Monzón	102
06	Hoya de Huesca / Plana de Uesca	22199	Sabiñánigo	101
06	Hoya de Huesca / Plana de Uesca	08019	Barcelona	95
06	Hoya de Huesca / Plana de Uesca	22213	Sariñena	67
07	Somontano de Barbastro	22158	Monzón	320
07	Somontano de Barbastro	22125	Huesca	237
07	Somontano de Barbastro	50297	Zaragoza	164
07	Somontano de Barbastro	08019	Barcelona	65
07	Somontano de Barbastro	22117	Graus	59
07	Somontano de Barbastro	25120	Lleida	52
07	Somontano de Barbastro	22061	Binéfar	39
07	Somontano de Barbastro	28079	Madrid	33
07	Somontano de Barbastro	22112	Fraga	21
07	Somontano de Barbastro	22225	Tamarite de Litera	17
08	Cinca Medio	22061	Binéfar	401
08	Cinca Medio	22048	Barbastro	309
08	Cinca Medio	50297	Zaragoza	117
08	Cinca Medio	22082	Castejón del Puente	113
08	Cinca Medio	22125	Huesca	94
08	Cinca Medio	25120	Lleida	89
08	Cinca Medio	08019	Barcelona	55
08	Cinca Medio	22225	Tamarite de Litera	38
08	Cinca Medio	28079	Madrid	25
08	Cinca Medio	22112	Fraga	24
09	La Litera / La Llitera	25120	Lleida	300
09	La Litera / La Llitera	22158	Monzón	237
09	La Litera / La Llitera	08019	Barcelona	117
09	La Litera / La Llitera	22060	Binaced	98
09	La Litera / La Llitera	22048	Barbastro	76
09	La Litera / La Llitera	50297	Zaragoza	65
09	La Litera / La Llitera	25019	Almacelles	50
09	La Litera / La Llitera	22125	Huesca	49
09	La Litera / La Llitera	25013	Alfarràs	25
09	La Litera / La Llitera	22007	Albalate de Cinca	22
09	La Litera / La Llitera	25021	Almenar	22
10	Los Monegros	50297	Zaragoza	1010
10	Los Monegros	22125	Huesca	894
10	Los Monegros	08019	Barcelona	45
10	Los Monegros	22048	Barbastro	36
10	Los Monegros	22112	Fraga	32
10	Los Monegros	22158	Monzón	32
10	Los Monegros	28079	Madrid	28
10	Los Monegros	25120	Lleida	27
10	Los Monegros	22021	Almudévar	26
10	Los Monegros	50208	Pina de Ebro	26
11	Bajo Cinca / Baix Cinca	25120	Lleida	290
11	Bajo Cinca / Baix Cinca	50297	Zaragoza	74
11	Bajo Cinca / Baix Cinca	08019	Barcelona	71
11	Bajo Cinca / Baix Cinca	22007	Albalate de Cinca	66
11	Bajo Cinca / Baix Cinca	22017	Alcolea de Cinca	61
11	Bajo Cinca / Baix Cinca	25011	Alcarràs	54
11	Bajo Cinca / Baix Cinca	25210	Soses	41
11	Bajo Cinca / Baix Cinca	22061	Binéfar	31
11	Bajo Cinca / Baix Cinca	25204	Seròs	28
11	Bajo Cinca / Baix Cinca	22125	Huesca	24
12	Tarazona y el Moncayo	50297	Zaragoza	296
12	Tarazona y el Moncayo	31232	Tudela	179
12	Tarazona y el Moncayo	50055	Borja	57
12	Tarazona y el Moncayo	31068	Cascante	40
12	Tarazona y el Moncayo	50107	Figueruelas	35
12	Tarazona y el Moncayo	31176	Murchante	29
12	Tarazona y el Moncayo	31201	Pamplona/Iruña	28
12	Tarazona y el Moncayo	28079	Madrid	24
12	Tarazona y el Moncayo	42004	Ágreda	22
12	Tarazona y el Moncayo	31173	Monteagudo	18
13	Campo de Borja	50297	Zaragoza	619
13	Campo de Borja	50107	Figueruelas	281
13	Campo de Borja	50251	Tarazona	148
13	Campo de Borja	31078	Cortes	74
13	Campo de Borja	31232	Tudela	74
13	Campo de Borja	50252	Tauste	56
13	Campo de Borja	50099	Épila	34
13	Campo de Borja	50204	Pedrola	30
13	Campo de Borja	50118	Gallur	23
13	Campo de Borja	28079	Madrid	17
14	Aranda	50297	Zaragoza	235
14	Aranda	50067	Calatayud	14
14	Aranda	50025	Almunia de Doña Godina (La)	10
14	Aranda	50177	Morés	10
14	Aranda	50175	Morata de Jalón	9
14	Aranda	08019	Barcelona	8
14	Aranda	28079	Madrid	8
14	Aranda	50066	Cadrete	5
14	Aranda	22125	Huesca	4
14	Aranda	43086	Montblanc	4
14	Aranda	50110	Frasno (El)	4
15	Ribera Alta del Ebro	50297	Zaragoza	1380
15	Ribera Alta del Ebro	50252	Tauste	193
15	Ribera Alta del Ebro	50272	Utebo	150
15	Ribera Alta del Ebro	50099	Épila	52
15	Ribera Alta del Ebro	50055	Borja	31
15	Ribera Alta del Ebro	50089	Cuarte de Huerva	23
15	Ribera Alta del Ebro	50095	Ejea de los Caballeros	21
15	Ribera Alta del Ebro	50219	Puebla de Alfindén (La)	21
15	Ribera Alta del Ebro	28079	Madrid	18
15	Ribera Alta del Ebro	50288	Villanueva de Gállego	14
16	Valdejalón	50297	Zaragoza	1235
16	Valdejalón	50107	Figueruelas	287
16	Valdejalón	50073	Cariñena	61
16	Valdejalón	50067	Calatayud	50
16	Valdejalón	50204	Pedrola	44
16	Valdejalón	50018	Alfamén	38
16	Valdejalón	28079	Madrid	34
16	Valdejalón	50126	Illueca	33
16	Valdejalón	50272	Utebo	24
16	Valdejalón	50008	Alagón	23
17	D.C. Zaragoza	50107	Figueruelas	6130
17	D.C. Zaragoza	28079	Madrid	1390
17	D.C. Zaragoza	22125	Huesca	895
17	D.C. Zaragoza	08019	Barcelona	704
17	D.C. Zaragoza	50099	Épila	669
17	D.C. Zaragoza	50008	Alagón	649
17	D.C. Zaragoza	50067	Calatayud	516
17	D.C. Zaragoza	50204	Pedrola	483
17	D.C. Zaragoza	50073	Cariñena	469
17	D.C. Zaragoza	50209	Pinseque	420
18	Ribera Baja del Ebro	50297	Zaragoza	413
18	Ribera Baja del Ebro	50045	Belchite	50
18	Ribera Baja del Ebro	50115	Fuentes de Ebro	46
18	Ribera Baja del Ebro	50062	Burgo de Ebro (El)	20
18	Ribera Baja del Ebro	16089	Fuentes	18
18	Ribera Baja del Ebro	44025	Andorra	17
18	Ribera Baja del Ebro	50199	Osera de Ebro	15
18	Ribera Baja del Ebro	44191	Puebla de Híjar (La)	13
18	Ribera Baja del Ebro	50219	Puebla de Alfindén (La)	11
18	Ribera Baja del Ebro	28079	Madrid	8
18	Ribera Baja del Ebro	44013	Alcañiz	8
19	Bajo Aragón-Caspe / Baix Aragó-Casp	50297	Zaragoza	147
19	Bajo Aragón-Caspe / Baix Aragó-Casp	44013	Alcañiz	53
19	Bajo Aragón-Caspe / Baix Aragó-Casp	08019	Barcelona	40
19	Bajo Aragón-Caspe / Baix Aragó-Casp	50165	Mequinenza	31
19	Bajo Aragón-Caspe / Baix Aragó-Casp	43148	Tarragona	16
19	Bajo Aragón-Caspe / Baix Aragó-Casp	22112	Fraga	13
19	Bajo Aragón-Caspe / Baix Aragó-Casp	50101	Escatrón	11
19	Bajo Aragón-Caspe / Baix Aragó-Casp	43123	Reus	9
19	Bajo Aragón-Caspe / Baix Aragó-Casp	43022	Batea	8
19	Bajo Aragón-Caspe / Baix Aragó-Casp	22125	Huesca	6
20	Comunidad de Calatayud	50297	Zaragoza	1125
20	Comunidad de Calatayud	28079	Madrid	121
20	Comunidad de Calatayud	50126	Illueca	108
20	Comunidad de Calatayud	50025	Almunia de Doña Godina (La)	72
20	Comunidad de Calatayud	50068	Calatorao	50
20	Comunidad de Calatayud	50094	Daroca	50
20	Comunidad de Calatayud	50057	Brea de Aragón	44
20	Comunidad de Calatayud	50099	Épila	36
20	Comunidad de Calatayud	08019	Barcelona	32
20	Comunidad de Calatayud	44050	Calamocha	23
21	Campo de Cariñena	50297	Zaragoza	624
21	Campo de Cariñena	50025	Almunia de Doña Godina (La)	73
21	Campo de Cariñena	50068	Calatorao	35
21	Campo de Cariñena	50089	Cuarte de Huerva	31
21	Campo de Cariñena	50175	Morata de Jalón	24
21	Campo de Cariñena	50163	María de Huerva	20
21	Campo de Cariñena	50099	Épila	17
21	Campo de Cariñena	50107	Figueruelas	17
21	Campo de Cariñena	50066	Cadrete	14
21	Campo de Cariñena	50045	Belchite	11
22	Campo de Belchite	50297	Zaragoza	530
22	Campo de Belchite	50062	Burgo de Ebro (El)	9
22	Campo de Belchite	28079	Madrid	7
22	Campo de Belchite	50107	Figueruelas	5
22	Campo de Belchite	50066	Cadrete	4
22	Campo de Belchite	50115	Fuentes de Ebro	4
22	Campo de Belchite	50219	Puebla de Alfindén (La)	4
22	Campo de Belchite	50298	Zuera	4
22	Campo de Belchite	08019	Barcelona	3
22	Campo de Belchite	50073	Cariñena	3
22	Campo de Belchite	50288	Villanueva de Gállego	3
23	Bajo Martín	50297	Zaragoza	270
23	Bajo Martín	44013	Alcañiz	57
23	Bajo Martín	50045	Belchite	54
23	Bajo Martín	44025	Andorra	46
23	Bajo Martín	44029	Ariño	45
23	Bajo Martín	50101	Escatrón	17
23	Bajo Martín	50240	Sástago	14
23	Bajo Martín	08019	Barcelona	11
23	Bajo Martín	28079	Madrid	8
23	Bajo Martín	44216	Teruel	7
23	Bajo Martín	50115	Fuentes de Ebro	7
24	Campo de Daroca	50297	Zaragoza	435
24	Campo de Daroca	50067	Calatayud	36
24	Campo de Daroca	50073	Cariñena	18
24	Campo de Daroca	28079	Madrid	15
24	Campo de Daroca	44050	Calamocha	12
24	Campo de Daroca	50107	Figueruelas	11
24	Campo de Daroca	08019	Barcelona	8
24	Campo de Daroca	22125	Huesca	7
24	Campo de Daroca	50089	Cuarte de Huerva	4
24	Campo de Daroca	50298	Zuera	4
25	Jiloca	50297	Zaragoza	381
25	Jiloca	44216	Teruel	142
25	Jiloca	50094	Daroca	28
25	Jiloca	28079	Madrid	19
25	Jiloca	46250	Valencia	18
25	Jiloca	08019	Barcelona	17
25	Jiloca	50067	Calatayud	12
25	Jiloca	44013	Alcañiz	10
25	Jiloca	44076	Cella	10
25	Jiloca	19190	Molina de Aragón	6
25	Jiloca	50066	Cadrete	6
26	Cuencas Mineras	50297	Zaragoza	278
26	Cuencas Mineras	44216	Teruel	56
26	Cuencas Mineras	44029	Ariño	48
26	Cuencas Mineras	46250	Valencia	16
26	Cuencas Mineras	44013	Alcañiz	11
26	Cuencas Mineras	08019	Barcelona	10
26	Cuencas Mineras	50045	Belchite	8
26	Cuencas Mineras	28079	Madrid	6
26	Cuencas Mineras	44014	Alcorisa	6
26	Cuencas Mineras	22125	Huesca	4
26	Cuencas Mineras	43086	Montblanc	4
26	Cuencas Mineras	43148	Tarragona	4
26	Cuencas Mineras	44025	Andorra	4
26	Cuencas Mineras	44050	Calamocha	4
26	Cuencas Mineras	44076	Cella	4
26	Cuencas Mineras	44100	Estercuel	4
27	Andorra-Sierra de Arcos	50297	Zaragoza	212
27	Andorra-Sierra de Arcos	44013	Alcañiz	93
27	Andorra-Sierra de Arcos	44014	Alcorisa	38
27	Andorra-Sierra de Arcos	44051	Calanda	23
27	Andorra-Sierra de Arcos	44216	Teruel	16
27	Andorra-Sierra de Arcos	44146	Mata de los Olmos (La)	14
27	Andorra-Sierra de Arcos	08019	Barcelona	13
27	Andorra-Sierra de Arcos	44122	Híjar	11
27	Andorra-Sierra de Arcos	28079	Madrid	10
27	Andorra-Sierra de Arcos	44008	Albalate del Arzobispo	10
