Tipo de hogar, código	Tipo de hogar	Municipio codigo	Municipio nombre	Nº hogares
1	Hogares unipersonales	22001	Abiego	29,4692385713
1	Hogares unipersonales	22002	Abizanda	22,4584139426
1	Hogares unipersonales	22003	Adahuesca	22,4197882458
1	Hogares unipersonales	22004	Agüero	24,1755912075
1	Hogares unipersonales	22006	Aísa	46,8209314851
1	Hogares unipersonales	22007	Albalate de Cinca	71,0439984732
1	Hogares unipersonales	22008	Albalatillo	20,0811024089
1	Hogares unipersonales	22009	Albelda	86,0493142483
1	Hogares unipersonales	22011	Albero Alto	12,3328364825
1	Hogares unipersonales	22012	Albero Bajo	9,4729659225
1	Hogares unipersonales	22013	Alberuela de Tubo	29,347105908
1	Hogares unipersonales	22014	Alcalá de Gurrea	68,2265174554
1	Hogares unipersonales	22015	Alcalá del Obispo	31,7988004542
1	Hogares unipersonales	22016	Alcampell	103,6077667404
1	Hogares unipersonales	22017	Alcolea de Cinca	90,9441401063
1	Hogares unipersonales	22018	Alcubierre	59,897734368
1	Hogares unipersonales	22019	Alerre	21,0595543619
1	Hogares unipersonales	22020	Alfántega	25,4513444074
1	Hogares unipersonales	22021	Almudévar	178,1351018688
1	Hogares unipersonales	22022	Almunia de San Juan	49,5737796559
1	Hogares unipersonales	22023	Almuniente	48,7984299197
1	Hogares unipersonales	22024	Alquézar	61,1981539194
1	Hogares unipersonales	22025	Altorricón	91,0071959687
1	Hogares unipersonales	22027	Angüés	37,1883322552
1	Hogares unipersonales	22028	Ansó	65,4374371844
1	Hogares unipersonales	22029	Antillón	8,9162331227
1	Hogares unipersonales	22032	Aragüés del Puerto	24,9100334497
1	Hogares unipersonales	22035	Arén	59,4127912639
1	Hogares unipersonales	22036	Argavieso	12,8103677266
1	Hogares unipersonales	22037	Arguis	19,4497717223
1	Hogares unipersonales	22039	Ayerbe	152,2924163166
1	Hogares unipersonales	22040	Azanuy-Alins	24,4469798238
1	Hogares unipersonales	22041	Azara	17,3355781672
1	Hogares unipersonales	22042	Azlor	13,916798267
1	Hogares unipersonales	22043	Baells	31,7244005466
1	Hogares unipersonales	22044	Bailo	36,3201254046
1	Hogares unipersonales	22045	Baldellou	18,4340287607
1	Hogares unipersonales	22046	Ballobar	90,7964982695
