Año	Residencia área código	Residencia continente nombre	Residencia país código	Residencia país nombre	Residencia área nombre	Inscripción provincia código	Inscripción provincia nombre	Inscripción municipio código	Inscripción municipio nombre	Inscripcion municipio estrato	Sexo	Personas
2009	01	Europa	102	Austria	UE-27	22	Huesca	22125	Huesca	7	Mujer	1
2009	01	Europa	102	Austria	UE-27	22	Huesca	22130	Jaca	6	Hombre	1
2009	01	Europa	102	Austria	UE-27	44	Teruel	44216	Teruel	7	Hombre	1
2009	01	Europa	102	Austria	UE-27	50	Zaragoza	50297	Zaragoza	7	Hombre	25
2009	01	Europa	102	Austria	UE-27	50	Zaragoza	50297	Zaragoza	7	Mujer	41
2009	01	Europa	103	Bélgica	UE-27	22	Huesca	22048	Barbastro	6	Hombre	3
2009	01	Europa	103	Bélgica	UE-27	22	Huesca	22048	Barbastro	6	Mujer	2
2009	01	Europa	103	Bélgica	UE-27	22	Huesca	22112	Fraga	6	Hombre	1
2009	01	Europa	103	Bélgica	UE-27	22	Huesca	22125	Huesca	7	Hombre	14
2009	01	Europa	103	Bélgica	UE-27	22	Huesca	22125	Huesca	7	Mujer	12
2009	01	Europa	103	Bélgica	UE-27	22	Huesca	22130	Jaca	6	Hombre	4
2009	01	Europa	103	Bélgica	UE-27	22	Huesca	22130	Jaca	6	Mujer	3
2009	01	Europa	103	Bélgica	UE-27	22	Huesca	22158	Monzón	6	Hombre	1
2009	01	Europa	103	Bélgica	UE-27	22	Huesca	22158	Monzón	6	Mujer	1
2009	01	Europa	103	Bélgica	UE-27	44	Teruel	44013	Alcañiz	6	Mujer	1
2009	01	Europa	103	Bélgica	UE-27	44	Teruel	44216	Teruel	7	Hombre	4
2009	01	Europa	103	Bélgica	UE-27	44	Teruel	44216	Teruel	7	Mujer	6
2009	01	Europa	103	Bélgica	UE-27	50	Zaragoza	50067	Calatayud	6	Hombre	4
2009	01	Europa	103	Bélgica	UE-27	50	Zaragoza	50067	Calatayud	6	Mujer	3
2009	01	Europa	103	Bélgica	UE-27	50	Zaragoza	50272	Utebo	6	Hombre	2
2009	01	Europa	103	Bélgica	UE-27	50	Zaragoza	50272	Utebo	6	Mujer	1
2009	01	Europa	103	Bélgica	UE-27	50	Zaragoza	50297	Zaragoza	7	Hombre	136
2009	01	Europa	103	Bélgica	UE-27	50	Zaragoza	50297	Zaragoza	7	Mujer	152
2009	01	Europa	104	Bulgaria	UE-27	22	Huesca	22125	Huesca	7	Hombre	1
2009	01	Europa	104	Bulgaria	UE-27	22	Huesca	22125	Huesca	7	Mujer	1
2009	01	Europa	104	Bulgaria	UE-27	50	Zaragoza	50297	Zaragoza	7	Hombre	1
2009	01	Europa	104	Bulgaria	UE-27	50	Zaragoza	50297	Zaragoza	7	Mujer	2
2009	01	Europa	106	Chipre	UE-27	22	Huesca	22048	Barbastro	6	Mujer	1
2009	01	Europa	106	Chipre	UE-27	50	Zaragoza	50297	Zaragoza	7	Hombre	3
2009	01	Europa	106	Chipre	UE-27	50	Zaragoza	50297	Zaragoza	7	Mujer	3
2009	01	Europa	107	Dinamarca	UE-27	22	Huesca	22048	Barbastro	6	Mujer	1
2009	01	Europa	107	Dinamarca	UE-27	50	Zaragoza	50297	Zaragoza	7	Hombre	11
2009	01	Europa	107	Dinamarca	UE-27	50	Zaragoza	50297	Zaragoza	7	Mujer	16
2009	01	Europa	109	Finlandia	UE-27	22	Huesca	22048	Barbastro	6	Hombre	1
2009	01	Europa	109	Finlandia	UE-27	22	Huesca	22125	Huesca	7	Hombre	1
2009	01	Europa	109	Finlandia	UE-27	22	Huesca	22125	Huesca	7	Mujer	3
2009	01	Europa	109	Finlandia	UE-27	44	Teruel	44216	Teruel	7	Hombre	4
2009	01	Europa	109	Finlandia	UE-27	44	Teruel	44216	Teruel	7	Mujer	4
2009	01	Europa	109	Finlandia	UE-27	50	Zaragoza	50297	Zaragoza	7	Hombre	18
2009	01	Europa	109	Finlandia	UE-27	50	Zaragoza	50297	Zaragoza	7	Mujer	11
2009	01	Europa	110	Francia	UE-27	22	Huesca	22048	Barbastro	6	Hombre	50
2009	01	Europa	110	Francia	UE-27	22	Huesca	22048	Barbastro	6	Mujer	43
2009	01	Europa	110	Francia	UE-27	22	Huesca	22112	Fraga	6	Hombre	7
2009	01	Europa	110	Francia	UE-27	22	Huesca	22112	Fraga	6	Mujer	14
2009	01	Europa	110	Francia	UE-27	22	Huesca	22125	Huesca	7	Hombre	136
2009	01	Europa	110	Francia	UE-27	22	Huesca	22125	Huesca	7	Mujer	94
