Año	Municipio código	Municipio nombre	Superficie regada (has)	Superficie Agrícola Utilizada (SAU)	% superficie regada sobre SAU
1989	22001	Abiego	11,94	2306	0,517779705117086
1989	22002	Abizanda	10,11	935	1,08128342245989
1989	22003	Adahuesca	12,95	1713	0,755983654407472
1989	22004	Agüero	3,95	595	0,663865546218487
1989	22006	Aísa	51,8	2265	2,28697571743929
1989	22007	Albalate de Cinca	2513,08	3540	70,9909604519774
1989	22008	Albalatillo	130,95	281	46,6014234875445
1989	22009	Albelda	2220,97	3768	58,942940552017
1989	22011	Albero Alto	29	1593	1,82046453232894
1989	22012	Albero Bajo	240,23	1408	17,0617897727273
1989	22013	Alberuela de Tubo	1423,3	1922	74,0530697190427
1989	22014	Alcalá de Gurrea	197,19	3943	5,00101445599797
1989	22015	Alcalá del Obispo	490,12	3791	12,9285149037193
1989	22016	Alcampell	1234,36	3680	33,5423913043478
1989	22017	Alcolea de Cinca	3635,69	5831	62,3510547075973
1989	22018	Alcubierre	459,88	5965	7,70963956412406
1989	22019	Alerre	9,5	738	1,28726287262873
1989	22020	Alfántega	166,39	307	54,1986970684039
1989	22021	Almudévar	3327,29	17641	18,8611189841846
1989	22022	Almunia de San Juan	852,08	1878	45,3716719914803
1989	22023	Almuniente	2631,04	2721	96,6938625505329
1989	22024	Alquézar	1,14	1215	0,093827160493827
1989	22025	Altorricón	2189,13	2251	97,2514438027543
1989	22027	Angüés	7,94	3214	0,24704418170504
1989	22028	Ansó	4,8	44	10,9090909090909
1989	22029	Antillón	19,62	1967	0,997458057956279
1989	22032	Aragüés del Puerto	2,91	2127	0,136812411847673
1989	22035	Arén	26,21	4989	0,525355782721988
1989	22036	Argavieso	240,43	770	31,2246753246753
1989	22037	Arguis	1,02	233	0,437768240343348
1989	22039	Ayerbe	48,83	3262	1,49693439607603
1989	22040	Azanuy-Alins	72,6	2976	2,43951612903226
1989	22041	Azara	1,55	939	0,16506922257721
1989	22042	Azlor	1,57	992	0,158266129032258
1989	22043	Baells	90,8	1473	6,1642905634759
1989	22044	Bailo	34,75	2748	1,26455604075691
1989	22045	Baldellou	0	580	0
1989	22046	Ballobar	334,26	6364	5,25235700817096
1989	22047	Banastás	15	559	2,68336314847943
1989	22048	Barbastro	1866,54	6663	28,013507429086
