Año	Municipio código	Municipio nombre	Incendios	Superficie forestal afectada
2007	22001	Abiego	0	0
2007	22002	Abizanda	0	0
2007	22003	Adahuesca	0	0
2007	22004	Agüero	0	0
2007	22006	Aísa	0	0
2007	22007	Albalate de Cinca	0	0
2007	22008	Albalatillo	1	0,62
2007	22009	Albelda	1	0,29
2007	22011	Albero Alto	0	0
2007	22012	Albero Bajo	0	0
2007	22013	Alberuela de Tubo	0	0
2007	22014	Alcalá de Gurrea	0	0
2007	22015	Alcalá del Obispo	0	0
2007	22016	Alcampell	0	0
2007	22017	Alcolea de Cinca	0	0
2007	22018	Alcubierre	0	0
2007	22019	Alerre	0	0
2007	22020	Alfántega	0	0
2007	22021	Almudévar	1	67,6
2007	22022	Almunia de San Juan	0	0
2007	22023	Almuniente	0	0
2007	22024	Alquézar	2	0,02
2007	22025	Altorricón	0	0
2007	22027	Angüés	1	0,09
2007	22028	Ansó	0	0
2007	22029	Antillón	0	0
2007	22032	Aragüés del Puerto	1	0,01
2007	22035	Arén	0	0
2007	22036	Argavieso	0	0
2007	22037	Arguis	1	0,02
2007	22039	Ayerbe	1	0,12
2007	22040	Azanuy-Alins	0	0
2007	22041	Azara	0	0
2007	22042	Azlor	0	0
2007	22043	Baells	0	0
2007	22044	Bailo	1	0,01
2007	22045	Baldellou	0	0
2007	22046	Ballobar	0	0
2007	22047	Banastás	0	0
2007	22048	Barbastro	3	27,15
2007	22049	Barbués	1	5,96
2007	22050	Barbuñales	0	0
2007	22051	Bárcabo	1	3,15
2007	22052	Belver de Cinca	0	0
2007	22053	Benabarre	1	0,5
2007	22054	Benasque	0	0
2007	22055	Berbegal	0	0
2007	22057	Bielsa	0	0
2007	22058	Bierge	0	0
2007	22059	Biescas	1	0,01
2007	22060	Binaced	1	3,8
2007	22061	Binéfar	0	0
2007	22062	Bisaurri	1	0,01
2007	22063	Biscarrués	2	0,03
2007	22064	Blecua y Torres	0	0
2007	22066	Boltaña	1	1
2007	22067	Bonansa	0	0
2007	22068	Borau	0	0
2007	22069	Broto	0	0
2007	22072	Caldearenas	0	0
2007	22074	Campo	0	0
2007	22075	Camporrells	2	18,9
2007	22076	Canal de Berdún	0	0
2007	22077	Candasnos	1	0,25
2007	22078	Canfranc	0	0
2007	22079	Capdesaso	0	0
2007	22080	Capella	0	0
2007	22081	Casbas de Huesca	1	0,37
2007	22082	Castejón del Puente	0	0
2007	22083	Castejón de Monegros	1	8,95
2007	22084	Castejón de Sos	0	0
2007	22085	Castelflorite	0	0
2007	22086	Castiello de Jaca	0	0
2007	22087	Castigaleu	0	0
2007	22088	Castillazuelo	0	0
2007	22089	Castillonroy	0	0
