Año	Dirección Provincial Código	Dirección Provincial Nombre	Sexo	Nº Accidentes	Código	Municipio	Grupo Grado Código	Grupo Grado Código
2020	22	Huesca	Hombres	1	22003	Adahuesca	1	Leves
2020	22	Huesca	Hombres	3	22007	Albalate de Cinca	1	Leves
2020	22	Huesca	Mujeres	1	22009	Albelda	1	Leves
2020	22	Huesca	Hombres	3	22017	Alcolea de Cinca	1	Leves
2020	22	Huesca	Hombres	1	22022	Almunia de San Juan	1	Leves
2020	22	Huesca	Hombres	1	22023	Almuniente	1	Leves
2020	22	Huesca	Hombres	1	22027	Angüés	1	Leves
2020	22	Huesca	Mujeres	1	22032	Aragüés del Puerto	1	Leves
2020	22	Huesca	Hombres	1	22046	Ballobar	1	Leves
2020	22	Huesca	Hombres	1	22046	Ballobar	2	Graves o muy graves
2020	22	Huesca	Hombres	8	22048	Barbastro	1	Leves
2020	22	Huesca	Mujeres	11	22048	Barbastro	1	Leves
2020	22	Huesca	Mujeres	1	22048	Barbastro	2	Graves o muy graves
2020	22	Huesca	Hombres	3	22054	Benasque	1	Leves
2020	22	Huesca	Mujeres	3	22054	Benasque	1	Leves
2020	22	Huesca	Hombres	1	22057	Bielsa	1	Leves
2020	22	Huesca	Mujeres	1	22059	Biescas	1	Leves
2020	22	Huesca	Hombres	2	22060	Binaced	1	Leves
2020	22	Huesca	Hombres	8	22061	Binéfar	1	Leves
2020	22	Huesca	Mujeres	2	22061	Binéfar	1	Leves
2020	22	Huesca	Mujeres	1	22074	Campo	1	Leves
2020	22	Huesca	Mujeres	2	22077	Candasnos	1	Leves
2020	22	Huesca	Hombres	1	22078	Canfranc	1	Leves
2020	22	Huesca	Hombres	1	22088	Castillazuelo	1	Leves
2020	22	Huesca	Mujeres	2	22096	Chimillas	1	Leves
2020	22	Huesca	Mujeres	2	22099	Esplús	1	Leves
2020	22	Huesca	Hombres	1	22103	Estadilla	1	Leves
2020	22	Huesca	Hombres	1	22110	Fonz	1	Leves
2020	22	Huesca	Hombres	6	22112	Fraga	1	Leves
2020	22	Huesca	Mujeres	7	22112	Fraga	1	Leves
2020	22	Huesca	Hombres	1	22116	Grañén	1	Leves
2020	22	Huesca	Mujeres	1	22116	Grañén	1	Leves
2020	22	Huesca	Hombres	1	22117	Graus	1	Leves
2020	22	Huesca	Mujeres	1	22117	Graus	1	Leves
2020	22	Huesca	Hombres	24	22125	Huesca	1	Leves
2020	22	Huesca	Hombres	1	22125	Huesca	2	Graves o muy graves
2020	22	Huesca	Hombres	1	22125	Huesca	3	Mortales
2020	22	Huesca	Mujeres	41	22125	Huesca	1	Leves
2020	50	Zaragoza	Mujeres	1	22125	Huesca	1	Leves
2020	22	Huesca	Mujeres	1	22127	Igriés	2	Graves o muy graves
2020	22	Huesca	Hombres	1	22130	Jaca	1	Leves
2020	22	Huesca	Mujeres	4	22130	Jaca	1	Leves
2020	22	Huesca	Hombres	1	22136	Lalueza	1	Leves
2020	22	Huesca	Hombres	1	22157	Montanuy	1	Leves
2020	22	Huesca	Mujeres	1	22157	Montanuy	1	Leves
2020	22	Huesca	Hombres	4	22158	Monzón	1	Leves
2020	50	Zaragoza	Hombres	2	22158	Monzón	1	Leves
2020	22	Huesca	Mujeres	4	22158	Monzón	1	Leves
2020	22	Huesca	Mujeres	1	22158	Monzón	3	Mortales
2020	22	Huesca	Mujeres	1	22172	Peñalba	1	Leves
2020	22	Huesca	Mujeres	6	22199	Sabiñánigo	1	Leves
2020	22	Huesca	Hombres	1	22203	Salillas	1	Leves
2020	22	Huesca	Hombres	2	22204	Sallent de Gállego	1	Leves
2020	22	Huesca	Hombres	2	22213	Sariñena	1	Leves
2020	22	Huesca	Hombres	3	22225	Tamarite de Litera	1	Leves
2020	22	Huesca	Mujeres	1	22234	Torrente de Cinca	1	Leves
2020	22	Huesca	Hombres	1	22236	Torres de Barbués	1	Leves
2020	22	Huesca	Mujeres	1	22245	Velilla de Cinca	1	Leves
2020	22	Huesca	Hombres	1	22251	Villanueva de Sigena	1	Leves
2020	22	Huesca	Hombres	1	22254	Zaidín	1	Leves
2020	22	Huesca	Hombres	1	22903	San Miguel del Cinca	1	Leves
2020	22	Huesca	Hombres	2	22907	Aínsa-Sobrarbe	1	Leves
2020	44	Teruel	Hombres	2	44008	Albalate del Arzobispo	1	Leves
2020	44	Teruel	Mujeres	1	44009	Albarracín	1	Leves
2020	44	Teruel	Hombres	1	44010	Albentosa	1	Leves
2020	44	Teruel	Mujeres	1	44010	Albentosa	2	Graves o muy graves
2020	44	Teruel	Hombres	5	44013	Alcañiz	1	Leves
2020	44	Teruel	Mujeres	7	44013	Alcañiz	1	Leves
2020	44	Teruel	Hombres	1	44014	Alcorisa	1	Leves
2020	44	Teruel	Mujeres	1	44022	Alloza	1	Leves
2020	44	Teruel	Hombres	1	44025	Andorra	1	Leves
2020	50	Zaragoza	Hombres	2	44029	Ariño	1	Leves
2020	44	Teruel	Hombres	1	44050	Calamocha	1	Leves
2020	44	Teruel	Mujeres	1	44050	Calamocha	1	Leves
2020	44	Teruel	Mujeres	1	44051	Calanda	1	Leves
2020	44	Teruel	Hombres	1	44076	Cella	1	Leves
2020	44	Teruel	Mujeres	2	44076	Cella	1	Leves
2020	44	Teruel	Hombres	1	44080	Codoñera (La)	1	Leves
2020	44	Teruel	Hombres	2	44096	Ejulve	1	Leves
2020	44	Teruel	Mujeres	2	44099	Escucha	1	Leves
2020	44	Teruel	Hombres	1	44112	Fuentes Claras	1	Leves
2020	44	Teruel	Mujeres	1	44117	Gea de Albarracín	1	Leves
2020	44	Teruel	Mujeres	1	44145	Mas de las Matas	1	Leves
2020	44	Teruel	Hombres	1	44153	Monreal del Campo	1	Leves
2020	44	Teruel	Mujeres	1	44153	Monreal del Campo	1	Leves
2020	44	Teruel	Hombres	2	44154	Monroyo	1	Leves
2020	44	Teruel	Mujeres	2	44192	Puebla de Valverde (La)	1	Leves
2020	44	Teruel	Mujeres	1	44209	Santa Eulalia	1	Leves
2020	44	Teruel	Hombres	2	44210	Sarrión	1	Leves
2020	44	Teruel	Mujeres	1	44210	Sarrión	1	Leves
2020	44	Teruel	Hombres	14	44216	Teruel	1	Leves
2020	44	Teruel	Mujeres	25	44216	Teruel	1	Leves
2020	44	Teruel	Hombres	1	44237	Urrea de Gaén	1	Leves
2020	44	Teruel	Hombres	3	44238	Utrillas	1	Leves
2020	44	Teruel	Hombres	1	44243	Valdecuenca	1	Leves
2020	44	Teruel	Hombres	1	44246	Valderrobres	1	Leves
2020	44	Teruel	Mujeres	4	44246	Valderrobres	1	Leves
2020	50	Zaragoza	Hombres	1	50008	Alagón	1	Leves
2020	50	Zaragoza	Mujeres	5	50008	Alagón	1	Leves
2020	50	Zaragoza	Hombres	3	50017	Alfajarín	1	Leves
2020	50	Zaragoza	Mujeres	2	50017	Alfajarín	1	Leves
2020	50	Zaragoza	Hombres	1	50018	Alfamén	1	Leves
2020	50	Zaragoza	Hombres	1	50024	Almonacid de la Sierra	1	Leves
2020	50	Zaragoza	Hombres	5	50025	Almunia de Doña Godina (La)	1	Leves
2020	50	Zaragoza	Mujeres	2	50025	Almunia de Doña Godina (La)	1	Leves
2020	50	Zaragoza	Hombres	1	50038	Ateca	1	Leves
2020	50	Zaragoza	Hombres	1	50038	Ateca	2	Graves o muy graves
2020	50	Zaragoza	Mujeres	1	50038	Ateca	1	Leves
2020	50	Zaragoza	Mujeres	1	50039	Azuara	1	Leves
2020	50	Zaragoza	Hombres	3	50055	Borja	1	Leves
2020	50	Zaragoza	Mujeres	4	50055	Borja	1	Leves
2020	50	Zaragoza	Hombres	1	50059	Bujaraloz	1	Leves
2020	50	Zaragoza	Hombres	4	50059	Bujaraloz	2	Graves o muy graves
2020	50	Zaragoza	Hombres	3	50059	Bujaraloz	3	Mortales
2020	50	Zaragoza	Hombres	2	50062	Burgo de Ebro (El)	1	Leves
2020	50	Zaragoza	Hombres	1	50066	Cadrete	1	Leves
2020	50	Zaragoza	Mujeres	4	50066	Cadrete	1	Leves
2020	50	Zaragoza	Hombres	4	50067	Calatayud	1	Leves
2020	50	Zaragoza	Mujeres	10	50067	Calatayud	1	Leves
2020	50	Zaragoza	Mujeres	4	50073	Cariñena	1	Leves
2020	50	Zaragoza	Mujeres	3	50074	Caspe	1	Leves
2020	50	Zaragoza	Hombres	13	50089	Cuarte de Huerva	1	Leves
2020	50	Zaragoza	Hombres	3	50089	Cuarte de Huerva	2	Graves o muy graves
2020	50	Zaragoza	Mujeres	6	50089	Cuarte de Huerva	1	Leves
2020	50	Zaragoza	Hombres	2	50094	Daroca	1	Leves
2020	50	Zaragoza	Mujeres	1	50094	Daroca	1	Leves
2020	50	Zaragoza	Hombres	11	50095	Ejea de los Caballeros	1	Leves
2020	50	Zaragoza	Mujeres	6	50095	Ejea de los Caballeros	1	Leves
2020	50	Zaragoza	Hombres	6	50099	Épila	1	Leves
2020	50	Zaragoza	Mujeres	4	50099	Épila	1	Leves
2020	50	Zaragoza	Hombres	1	50101	Escatrón	1	Leves
2020	50	Zaragoza	Mujeres	1	50105	Fayón	1	Leves
2020	50	Zaragoza	Hombres	12	50107	Figueruelas	1	Leves
2020	50	Zaragoza	Mujeres	10	50107	Figueruelas	1	Leves
2020	50	Zaragoza	Hombres	2	50115	Fuentes de Ebro	1	Leves
2020	50	Zaragoza	Mujeres	3	50115	Fuentes de Ebro	1	Leves
2020	50	Zaragoza	Hombres	2	50118	Gallur	1	Leves
2020	50	Zaragoza	Hombres	1	50152	Maella	1	Leves
2020	50	Zaragoza	Hombres	2	50160	Mallén	1	Leves
2020	50	Zaragoza	Mujeres	2	50160	Mallén	1	Leves
2020	50	Zaragoza	Hombres	1	50163	María de Huerva	1	Leves
2020	50	Zaragoza	Mujeres	2	50163	María de Huerva	1	Leves
2020	50	Zaragoza	Hombres	5	50165	Mequinenza	1	Leves
2020	50	Zaragoza	Hombres	2	50176	Morata de Jiloca	1	Leves
2020	50	Zaragoza	Mujeres	1	50176	Morata de Jiloca	1	Leves
2020	50	Zaragoza	Mujeres	1	50181	Muel	1	Leves
2020	50	Zaragoza	Hombres	9	50182	Muela (La)	1	Leves
2020	50	Zaragoza	Mujeres	12	50182	Muela (La)	1	Leves
2020	50	Zaragoza	Mujeres	1	50189	Nonaspe	1	Leves
2020	50	Zaragoza	Hombres	1	50193	Nuez de Ebro	1	Leves
2020	50	Zaragoza	Hombres	15	50204	Pedrola	1	Leves
2020	50	Zaragoza	Mujeres	5	50204	Pedrola	1	Leves
2020	50	Zaragoza	Hombres	1	50208	Pina de Ebro	1	Leves
2020	50	Zaragoza	Mujeres	4	50208	Pina de Ebro	1	Leves
2020	50	Zaragoza	Hombres	3	50209	Pinseque	1	Leves
2020	50	Zaragoza	Mujeres	2	50209	Pinseque	1	Leves
