Año	Municipio código	Municipio nombre	Intervalo renta
2016	22001	Abiego	5
2016	22002	Abizanda	5
2016	22003	Adahuesca	3
2016	22004	Agüero	2
2016	22006	Aísa	7
2016	22007	Albalate de Cinca	4
2016	22008	Albalatillo	3
2016	22009	Albelda	4
2016	22011	Albero Alto	4
2016	22012	Albero Bajo	4
2016	22013	Alberuela de Tubo	4
2016	22014	Alcalá de Gurrea	3
2016	22015	Alcalá del Obispo	4
2016	22016	Alcampell	3
2016	22017	Alcolea de Cinca	5
2016	22018	Alcubierre	3
2016	22019	Alerre	7
2016	22020	Alfántega	4
2016	22021	Almudévar	5
2016	22022	Almunia de San Juan	5
2016	22023	Almuniente	3
2016	22024	Alquézar	7
2016	22025	Altorricón	5
2016	22027	Angüés	4
2016	22028	Ansó	5
2016	22029	Antillón	3
2016	22032	Aragüés del Puerto	3
2016	22035	Arén	5
2016	22036	Argavieso	4
2016	22037	Arguis	5
2016	22039	Ayerbe	5
2016	22040	Azanuy-Alins	3
2016	22041	Azara	3
2016	22042	Azlor	3
2016	22043	Baells	3
2016	22044	Bailo	4
2016	22045	Baldellou	3
2016	22046	Ballobar	4
2016	22047	Banastás	7
2016	22048	Barbastro	6
2016	22049	Barbués	4
2016	22050	Barbuñales	4
2016	22051	Bárcabo	3
2016	22052	Belver de Cinca	4
2016	22053	Benabarre	5
2016	22054	Benasque	7
2016	22055	Berbegal	4
2016	22057	Bielsa	7
2016	22058	Bierge	5
2016	22059	Biescas	7
2016	22060	Binaced	5
2016	22061	Binéfar	5
2016	22062	Bisaurri	4
2016	22063	Biscarrués	4
2016	22064	Blecua y Torres	3
2016	22066	Boltaña	6
2016	22067	Bonansa	5
2016	22068	Borau	3
2016	22069	Broto	6
2016	22072	Caldearenas	4
2016	22074	Campo	6
2016	22075	Camporrells	3
2016	22076	Canal de Berdún	5
2016	22077	Candasnos	5
2016	22078	Canfranc	6
2016	22079	Capdesaso	2
2016	22080	Capella	5
2016	22081	Casbas de Huesca	5
2016	22082	Castejón del Puente	4
2016	22083	Castejón de Monegros	3
2016	22084	Castejón de Sos	5
2016	22085	Castelflorite	3
2016	22086	Castiello de Jaca	5
2016	22087	Castigaleu	5
2016	22088	Castillazuelo	3
2016	22089	Castillonroy	5
2016	22090	Colungo	2
2016	22094	Chalamera	5
2016	22095	Chía	3
2016	22096	Chimillas	6
2016	22099	Esplús	4
2016	22102	Estada	4
2016	22103	Estadilla	5
2016	22105	Estopiñán del Castillo	5
2016	22106	Fago	2
2016	22107	Fanlo	5
2016	22109	Fiscal	5
2016	22110	Fonz	4
2016	22111	Foradada del Toscar	5
2016	22112	Fraga	5
2016	22113	Fueva (La)	5
2016	22114	Gistaín	3
2016	22115	Grado (El)	5
2016	22116	Grañén	4
2016	22117	Graus	5
2016	22119	Gurrea de Gállego	4
2016	22122	Hoz de Jaca	4
2016	22124	Huerto	3
2016	22125	Huesca	7
2016	22126	Ibieca	3
2016	22127	Igriés	5
2016	22128	Ilche	3
2016	22129	Isábena	5
2016	22130	Jaca	7
2016	22131	Jasa	5
2016	22133	Labuerda	7
2016	22135	Laluenga	3
2016	22136	Lalueza	4
2016	22137	Lanaja	3
2016	22139	Laperdiguera	4
2016	22141	Lascellas-Ponzano	5
2016	22142	Lascuarre	4
2016	22143	Laspaúles	5
2016	22144	Laspuña	4
2016	22149	Loarre	3
2016	22150	Loporzano	4
2016	22151	Loscorrales	3
2016	22155	Monesma y Cajigar	2
2016	22156	Monflorite-Lascasas	5
2016	22157	Montanuy	5
2016	22158	Monzón	5
2016	22160	Naval	4
2016	22162	Novales	4
2016	22163	Nueno	7
2016	22164	Olvena	3
2016	22165	Ontiñena	3
2016	22167	Osso de Cinca	3
2016	22168	Palo	5
2016	22170	Panticosa	7
2016	22172	Peñalba	4
2016	22173	Peñas de Riglos (Las)	5
2016	22174	Peralta de Alcofea	4
2016	22175	Peralta de Calasanz	2
2016	22176	Peraltilla	3
2016	22177	Perarrúa	3
2016	22178	Pertusa	4
2016	22181	Piracés	4
2016	22182	Plan	5
2016	22184	Poleñino	4
2016	22186	Pozán de Vero	3
2016	22187	Puebla de Castro (La)	5
2016	22188	Puente de Montañana	5
2016	22189	Puértolas	5
2016	22190	Pueyo de Araguás (El)	5
2016	22193	Pueyo de Santa Cruz	4
2016	22195	Quicena	6
2016	22197	Robres	3
2016	22199	Sabiñánigo	6
2016	22200	Sahún	7
2016	22201	Salas Altas	3
2016	22202	Salas Bajas	4
2016	22203	Salillas	3
2016	22204	Sallent de Gállego	7
2016	22205	San Esteban de Litera	4
2016	22206	Sangarrén	3
