Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones cuyo titular es persona física	Explotaciones cuya gestión se lleva por el titular de la misma	Explotaciones cuya gestión se lleva por un miembro de la familia, no titular	Explotaciones cuya gestión se lleva por otra persona
1989	22001	Abiego	86	83	83	0	0
1989	22002	Abizanda	48	39	39	0	0
1989	22003	Adahuesca	69	66	65	1	0
1989	22004	Agüero	66	59	59	0	0
1989	22006	Aísa	50	45	44	1	0
1989	22007	Albalate de Cinca	294	288	281	7	0
1989	22008	Albalatillo	24	23	23	0	0
1989	22009	Albelda	282	280	275	5	0
1989	22011	Albero Alto	24	23	23	0	0
1989	22012	Albero Bajo	38	36	33	3	0
1989	22013	Alberuela de Tubo	74	72	71	1	0
1989	22014	Alcalá de Gurrea	38	31	31	0	0
1989	22015	Alcalá del Obispo	104	99	99	0	0
1989	22016	Alcampell	243	238	232	6	0
1989	22017	Alcolea de Cinca	295	290	280	10	0
1989	22018	Alcubierre	125	123	123	0	0
1989	22019	Alerre	18	17	17	0	0
1989	22020	Alfántega	31	29	29	0	0
1989	22021	Almudévar	537	525	522	3	0
1989	22022	Almunia de San Juan	107	104	103	1	0
1989	22023	Almuniente	128	125	125	0	0
1989	22024	Alquézar	100	96	96	0	0
1989	22025	Altorricón	298	292	291	0	1
1989	22027	Angüés	113	107	104	3	0
1989	22028	Ansó	27	25	25	0	0
1989	22029	Antillón	39	38	38	0	0
1989	22032	Aragüés del Puerto	25	23	23	0	0
1989	22035	Arén	92	77	77	0	0
1989	22036	Argavieso	41	40	40	0	0
1989	22037	Arguis	20	15	15	0	0
1989	22039	Ayerbe	226	215	208	7	0
1989	22040	Azanuy-Alins	98	96	96	0	0
1989	22041	Azara	61	59	59	0	0
1989	22042	Azlor	58	56	56	0	0
1989	22043	Baells	56	53	53	0	0
1989	22044	Bailo	100	90	88	1	1
1989	22045	Baldellou	75	71	71	0	0
1989	22046	Ballobar	179	176	175	1	0
1989	22047	Banastás	7	6	6	0	0
1989	22048	Barbastro	666	652	648	3	1
1989	22049	Barbués	46	45	45	0	0
1989	22050	Barbuñales	31	31	30	1	0
1989	22051	Bárcabo	48	39	39	0	0
