Año	Municipio código	Municipio	Superficie (km2)
2017	22001	Abiego	38,19
2017	22002	Abizanda	44,84
2017	22003	Adahuesca	52,47
2017	22004	Agüero	94,16
2017	22006	Aísa	80,97
2017	22007	Albalate de Cinca	44,23
2017	22008	Albalatillo	9,15
2017	22009	Albelda	51,92
2017	22011	Albero Alto	19,28
2017	22012	Albero Bajo	22,22
2017	22013	Alberuela de Tubo	20,79
2017	22014	Alcalá de Gurrea	71,42
2017	22015	Alcalá del Obispo	47,85
2017	22016	Alcampell	58
2017	22017	Alcolea de Cinca	83,24
2017	22018	Alcubierre	115,32
2017	22019	Alerre	8,94
2017	22020	Alfántega	8,76
2017	22021	Almudévar	201,49
2017	22022	Almunia de San Juan	35,66
2017	22023	Almuniente	37,56
2017	22024	Alquézar	32,36
2017	22025	Altorricón	32,41
2017	22027	Angüés	56,52
2017	22028	Ansó	201,47
2017	22029	Antillón	22,41
2017	22032	Aragüés del Puerto	64,44
2017	22035	Arén	119,32
2017	22036	Argavieso	9,71
2017	22037	Arguis	62,75
2017	22039	Ayerbe	63,89
2017	22040	Azanuy-Alins	51,17
2017	22041	Azara	14,49
2017	22042	Azlor	15,89
2017	22043	Baells	39,82
2017	22044	Bailo	164,43
2017	22045	Baldellou	30,42
2017	22046	Ballobar	127,73
2017	22047	Banastás	4,66
2017	22048	Barbastro	107,6
2017	22049	Barbués	19,59
2017	22050	Barbuñales	18,75
2017	22051	Bárcabo	87,92
2017	22052	Belver de Cinca	82,63
2017	22053	Benabarre	157,14
2017	22054	Benasque	233,2
2017	22055	Berbegal	49,03
2017	22057	Bielsa	202,41
2017	22058	Bierge	145,03
2017	22059	Biescas	189,09
2017	22060	Binaced	78,49
2017	22061	Binéfar	25,1
2017	22062	Bisaurri	63,19
2017	22063	Biscarrués	30,18
2017	22064	Blecua y Torres	36,2
2017	22066	Boltaña	139,45
2017	22067	Bonansa	37,29
2017	22068	Borau	41,72
2017	22069	Broto	128,05
2017	22072	Caldearenas	192,31
2017	22074	Campo	22,86
2017	22075	Camporrells	26,71
2017	22076	Canal de Berdún	133,27
2017	22077	Candasnos	122,45
2017	22078	Canfranc	71,56
2017	22079	Capdesaso	17,7
2017	22080	Capella	60,71
2017	22081	Casbas de Huesca	132,69
2017	22082	Castejón del Puente	25,43
2017	22083	Castejón de Monegros	165,33
2017	22084	Castejón de Sos	31,55
2017	22085	Castelflorite	34,76
2017	22086	Castiello de Jaca	17,31
2017	22087	Castigaleu	26,53
2017	22088	Castillazuelo	15,32
2017	22089	Castillonroy	37,58
2017	22090	Colungo	40,64
2017	22094	Chalamera	11,5
2017	22095	Chía	26,1
2017	22096	Chimillas	10,04
2017	22099	Esplús	73
2017	22102	Estada	15,87
2017	22103	Estadilla	50,39
2017	22105	Estopiñán del Castillo	88,71
2017	22106	Fago	50,37
2017	22107	Fanlo	187,1
2017	22109	Fiscal	170,06
2017	22110	Fonz	51,86
2017	22111	Foradada del Toscar	106,25
2017	22112	Fraga	437,64
2017	22113	Fueva (La)	218,85
2017	22114	Gistaín	75,9
2017	22115	Grado (El)	63,77
2017	22116	Grañén	123,98
2017	22117	Graus	299,79
2017	22119	Gurrea de Gállego	191,97
2017	22122	Hoz de Jaca	12,45
2017	22124	Huerto	86,72
2017	22125	Huesca	161,04
2017	22126	Ibieca	14,94
2017	22127	Igriés	19,17
2017	22128	Ilche	63,72
2017	22129	Isábena	118,53
2017	22130	Jaca	406,34
2017	22131	Jasa	8,9
2017	22133	Labuerda	17,85
2017	22135	Laluenga	36,47
2017	22136	Lalueza	88,19
2017	22137	Lanaja	183,7
2017	22139	Laperdiguera	11,32
2017	22141	Lascellas-Ponzano	27,33
2017	22142	Lascuarre	31,87
2017	22143	Laspaúles	81,75
2017	22144	Laspuña	45,29
2017	22149	Loarre	74,42
2017	22150	Loporzano	169,28
2017	22151	Loscorrales	40,25
2017	22155	Monesma y Cajigar	62,6
2017	22156	Monflorite-Lascasas	29,16
2017	22157	Montanuy	174,2
2017	22158	Monzón	155,02
2017	22160	Naval	47,32
