Año	Municipio código	Municipio nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2003	22001	Abiego		1709	1645	13144	13144
2003	22002	Abizanda		588	581	3605	3605
2003	22003	Adahuesca		1006	788	6300	6300
2003	22004	Agüero		812	613	3066	3066
2003	22006	Aísa		1454	390	1107	1107
2003	22007	Albalate de Cinca		8286	8258	53680	53680
2003	22008	Albalatillo		1284	1284	8346	8346
2003	22009	Albelda		9559	9518	76147	76147
2003	22011	Albero Alto		1226	1204	5901	5901
2003	22012	Albero Bajo		1966	1884	16203	16203
2003	22013	Alberuela de Tubo		3020	2947	22095	22095
2003	22014	Alcalá de Gurrea		4920	4907	31893	31893
2003	22015	Alcalá del Obispo		3524	3458	10373	10373
2003	22016	Alcampell		4871	4675	32723	32723
2003	22017	Alcolea de Cinca		10993	10607	84853	84853
2003	22018	Alcubierre		4746	4111	25075	25075
2003	22019	Alerre		611	611	3974	3974
2003	22020	Alfántega		1248	1217	7304	7304
2003	22021	Almudévar		17189	17083	85552	85552
2003	22022	Almunia de San Juan		2559	2503	21280	21280
2003	22023	Almuniente		7763	7713	40855	40855
2003	22024	Alquézar		696	660	5276	5276
2003	22025	Altorricón		6591	6587	53616	53616
2003	22027	Angüés		2102	2073	10366	10366
2003	22028	Ansó		2430	2430	14577	14577
2003	22029	Antillón		987	933	7932	7932
2003	22032	Aragüés del Puerto		1132	1068	6410	6410
2003	22035	Arén		1858	1713	10278	10278
2003	22036	Argavieso		838	773	4252	4252
2003	22037	Arguis		637	365	3107	3107
2003	22039	Ayerbe		3003	2861	17739	17739
2003	22040	Azanuy-Alins		1094	1034	7753	7753
2003	22041	Azara		584	571	1884	1884
2003	22042	Azlor		531	529	2114	2114
2003	22043	Baells		1035	1034	3100	3100
2003	22044	Bailo		3267	2681	17429	17429
2003	22045	Baldellou		589	538	1613	1613
2003	22046	Ballobar		5992	5433	29334	29334
2003	22047	Banastás		311	302	1815	1815
2003	22048	Barbastro		11094	10684	80044	80044
2003	22049	Barbués		2866	2825	12149	12149
2003	22050	Barbuñales		584	584	4087	4087
2003	22051	Bárcabo		1193	1178	6245	6245
2003	22052	Belver de Cinca		14283	14033	65933	65933
2003	22053	Benabarre		3762	3734	32116	32116
2003	22054	Benasque		1141	432	1943	1943
2003	22055	Berbegal		3381	3272	22907	22907
2003	22057	Bielsa		3659	339	3055	3055
2003	22058	Bierge		1673	1608	10454	10454
2003	22059	Biescas		3620	1749	8743	8743
2003	22060	Binaced		16711	16456	115189	115189
2003	22061	Binéfar		4279	4091	19965	19965
2003	22062	Bisaurri		498	281	1058	1058
2003	22063	Biscarrués		1497	1462	7232	7232
