Año	Residencia área código	Residencia continente nombre	Residencia área nombre	Inscripción provincia código	Inscripción provincia nombre	Inscripción municipio código	Inscripción municipio nombre	Inscripcion municipio estrato	Sexo	Personas
2009	01	Europa	UE-27	22	Huesca	22048	Barbastro	6	Hombre	63
2009	01	Europa	UE-27	22	Huesca	22048	Barbastro	6	Mujer	59
2009	01	Europa	UE-27	22	Huesca	22112	Fraga	6	Hombre	16
2009	01	Europa	UE-27	22	Huesca	22112	Fraga	6	Mujer	24
2009	01	Europa	UE-27	22	Huesca	22125	Huesca	7	Hombre	217
2009	01	Europa	UE-27	22	Huesca	22125	Huesca	7	Mujer	204
2009	01	Europa	UE-27	22	Huesca	22130	Jaca	6	Hombre	86
2009	01	Europa	UE-27	22	Huesca	22130	Jaca	6	Mujer	108
2009	01	Europa	UE-27	22	Huesca	22158	Monzón	6	Hombre	38
2009	01	Europa	UE-27	22	Huesca	22158	Monzón	6	Mujer	52
2009	01	Europa	UE-27	44	Teruel	44013	Alcañiz	6	Hombre	43
2009	01	Europa	UE-27	44	Teruel	44013	Alcañiz	6	Mujer	49
2009	01	Europa	UE-27	44	Teruel	44216	Teruel	7	Hombre	135
2009	01	Europa	UE-27	44	Teruel	44216	Teruel	7	Mujer	133
2009	01	Europa	UE-27	50	Zaragoza	50067	Calatayud	6	Hombre	31
2009	01	Europa	UE-27	50	Zaragoza	50067	Calatayud	6	Mujer	39
2009	01	Europa	UE-27	50	Zaragoza	50074	Caspe	6	Hombre	35
2009	01	Europa	UE-27	50	Zaragoza	50074	Caspe	6	Mujer	31
2009	01	Europa	UE-27	50	Zaragoza	50089	Cuarte de Huerva	6	Hombre	7
2009	01	Europa	UE-27	50	Zaragoza	50089	Cuarte de Huerva	6	Mujer	10
2009	01	Europa	UE-27	50	Zaragoza	50095	Ejea de los Caballeros	6	Hombre	36
2009	01	Europa	UE-27	50	Zaragoza	50095	Ejea de los Caballeros	6	Mujer	56
2009	01	Europa	UE-27	50	Zaragoza	50251	Tarazona	6	Hombre	19
2009	01	Europa	UE-27	50	Zaragoza	50251	Tarazona	6	Mujer	24
2009	01	Europa	UE-27	50	Zaragoza	50272	Utebo	6	Hombre	19
2009	01	Europa	UE-27	50	Zaragoza	50272	Utebo	6	Mujer	19
2009	01	Europa	UE-27	50	Zaragoza	50297	Zaragoza	7	Hombre	2175
2009	01	Europa	UE-27	50	Zaragoza	50297	Zaragoza	7	Mujer	2569
2009	02	Europa	Resto de Europa	22	Huesca	22048	Barbastro	6	Hombre	16
2009	02	Europa	Resto de Europa	22	Huesca	22048	Barbastro	6	Mujer	12
2009	02	Europa	Resto de Europa	22	Huesca	22112	Fraga	6	Hombre	16
2009	02	Europa	Resto de Europa	22	Huesca	22112	Fraga	6	Mujer	14
2009	02	Europa	Resto de Europa	22	Huesca	22125	Huesca	7	Hombre	21
2009	02	Europa	Resto de Europa	22	Huesca	22125	Huesca	7	Mujer	23
2009	02	Europa	Resto de Europa	22	Huesca	22130	Jaca	6	Hombre	5
2009	02	Europa	Resto de Europa	22	Huesca	22130	Jaca	6	Mujer	8
2009	02	Europa	Resto de Europa	22	Huesca	22158	Monzón	6	Hombre	13
2009	02	Europa	Resto de Europa	22	Huesca	22158	Monzón	6	Mujer	13
2009	02	Europa	Resto de Europa	44	Teruel	44013	Alcañiz	6	Hombre	7
2009	02	Europa	Resto de Europa	44	Teruel	44013	Alcañiz	6	Mujer	10
