Mes y año	Codmun	Municipio	Cuentas cotización con trabajadores
Octubre 2020	22001	Abiego	15
Octubre 2020	22002	Abizanda	6
Octubre 2020	22003	Adahuesca	12
Octubre 2020	22004	Agüero	4
Octubre 2020	22006	Aísa	33
Octubre 2020	22007	Albalate de Cinca	80
Octubre 2020	22008	Albalatillo	8
Octubre 2020	22009	Albelda	39
Octubre 2020	22011	Albero Alto	8
Octubre 2020	22012	Albero Bajo	2
Octubre 2020	22013	Alberuela de Tubo	11
Octubre 2020	22014	Alcalá de Gurrea	12
Octubre 2020	22015	Alcalá del Obispo	21
Octubre 2020	22016	Alcampell	31
Octubre 2020	22017	Alcolea de Cinca	69
Octubre 2020	22018	Alcubierre	24
Octubre 2020	22019	Alerre	9
Octubre 2020	22020	Alfántega	5
Octubre 2020	22021	Almudévar	111
Octubre 2020	22022	Almunia de San Juan	31
Octubre 2020	22023	Almuniente	21
Octubre 2020	22024	Alquézar	38
Octubre 2020	22025	Altorricón	113
Octubre 2020	22027	Angüés	18
Octubre 2020	22028	Ansó	18
Octubre 2020	22029	Antillón	8
Octubre 2020	22032	Aragüés del Puerto	5
Octubre 2020	22035	Arén	16
Octubre 2020	22037	Arguis	6
Octubre 2020	22039	Ayerbe	52
Octubre 2020	22040	Azanuy-Alins	5
Octubre 2020	22041	Azara	9
Octubre 2020	22042	Azlor	2
Octubre 2020	22043	Baells	4
Octubre 2020	22044	Bailo	12
Octubre 2020	22045	Baldellou	3
Octubre 2020	22046	Ballobar	39
Octubre 2020	22047	Banastás	11
Octubre 2020	22048	Barbastro	796
Octubre 2020	22049	Barbués	6
Octubre 2020	22050	Barbuñales	4
Octubre 2020	22051	Bárcabo	2
Octubre 2020	22052	Belver de Cinca	78
Octubre 2020	22053	Benabarre	61
Octubre 2020	22054	Benasque	127
Octubre 2020	22055	Berbegal	19
Octubre 2020	22057	Bielsa	28
Octubre 2020	22058	Bierge	12
Octubre 2020	22059	Biescas	91
Octubre 2020	22060	Binaced	97
Octubre 2020	22061	Binéfar	469
Octubre 2020	22062	Bisaurri	10
Octubre 2020	22063	Biscarrués	9
Octubre 2020	22064	Blecua y Torres	15
Octubre 2020	22066	Boltaña	52
Octubre 2020	22067	Bonansa	5
Octubre 2020	22068	Borau	4
Octubre 2020	22069	Broto	48
Octubre 2020	22072	Caldearenas	9
Octubre 2020	22074	Campo	29
Octubre 2020	22075	Camporrells	7
Octubre 2020	22076	Canal de Berdún	22
Octubre 2020	22077	Candasnos	19
Octubre 2020	22078	Canfranc	37
Octubre 2020	22079	Capdesaso	9
Octubre 2020	22080	Capella	20
Octubre 2020	22081	Casbas de Huesca	11
Octubre 2020	22082	Castejón del Puente	26
Octubre 2020	22083	Castejón de Monegros	14
Octubre 2020	22084	Castejón de Sos	32
Octubre 2020	22085	Castelflorite	11
Octubre 2020	22086	Castiello de Jaca	10
Octubre 2020	22087	Castigaleu	10
Octubre 2020	22088	Castillazuelo	9
Octubre 2020	22089	Castillonroy	18
Octubre 2020	22090	Colungo	7
Octubre 2020	22094	Chalamera	4
Octubre 2020	22095	Chía	3
Octubre 2020	22096	Chimillas	17
Octubre 2020	22099	Esplús	55
Octubre 2020	22102	Estada	9
Octubre 2020	22103	Estadilla	44
Octubre 2020	22105	Estopiñán del Castillo	10
Octubre 2020	22107	Fanlo	2
Octubre 2020	22109	Fiscal	14
Octubre 2020	22110	Fonz	53
Octubre 2020	22111	Foradada del Toscar	7
Octubre 2020	22112	Fraga	746
Octubre 2020	22113	Fueva (La)	28
Octubre 2020	22114	Gistaín	5
Octubre 2020	22115	Grado (El)	34
Octubre 2020	22116	Grañén	108
Octubre 2020	22117	Graus	183
Octubre 2020	22119	Gurrea de Gállego	58
Octubre 2020	22122	Hoz de Jaca	3
Octubre 2020	22124	Huerto	17
Octubre 2020	22125	Huesca	2892
Octubre 2020	22126	Ibieca	4
Octubre 2020	22127	Igriés	18
Octubre 2020	22128	Ilche	20
Octubre 2020	22129	Isábena	17
Octubre 2020	22130	Jaca	687
Octubre 2020	22131	Jasa	4
Octubre 2020	22133	Labuerda	13
Octubre 2020	22135	Laluenga	14
Octubre 2020	22136	Lalueza	42
Octubre 2020	22137	Lanaja	51
Octubre 2020	22139	Laperdiguera	4
Octubre 2020	22141	Lascellas-Ponzano	13
Octubre 2020	22142	Lascuarre	8
Octubre 2020	22143	Laspaúles	12
Octubre 2020	22144	Laspuña	7
Octubre 2020	22149	Loarre	11
Octubre 2020	22150	Loporzano	17
Octubre 2020	22151	Loscorrales	2
Octubre 2020	22156	Monflorite-Lascasas	18
Octubre 2020	22157	Montanuy	14
Octubre 2020	22158	Monzón	701
Octubre 2020	22160	Naval	10
Octubre 2020	22162	Novales	14
Octubre 2020	22163	Nueno	22
Octubre 2020	22164	Olvena	1
Octubre 2020	22165	Ontiñena	23
Octubre 2020	22167	Osso de Cinca	41
Octubre 2020	22170	Panticosa	56
Octubre 2020	22172	Peñalba	43
Octubre 2020	22173	Peñas de Riglos (Las)	6
Octubre 2020	22174	Peralta de Alcofea	41
Octubre 2020	22175	Peralta de Calasanz	9
Octubre 2020	22176	Peraltilla	4
Octubre 2020	22177	Perarrúa	3
Octubre 2020	22178	Pertusa	10
Octubre 2020	22181	Piracés	7
Octubre 2020	22182	Plan	17
Octubre 2020	22184	Poleñino	13
Octubre 2020	22186	Pozán de Vero	3
Octubre 2020	22187	Puebla de Castro (La)	16
Octubre 2020	22188	Puente de Montañana	10
Octubre 2020	22189	Puértolas	14
Octubre 2020	22190	Pueyo de Araguás (El)	3
Octubre 2020	22193	Pueyo de Santa Cruz	12
Octubre 2020	22195	Quicena	12
Octubre 2020	22197	Robres	22
Octubre 2020	22199	Sabiñánigo	384
Octubre 2020	22200	Sahún	22
Octubre 2020	22201	Salas Altas	7
Octubre 2020	22202	Salas Bajas	9
Octubre 2020	22203	Salillas	10
Octubre 2020	22204	Sallent de Gállego	105
Octubre 2020	22205	San Esteban de Litera	21
Octubre 2020	22206	Sangarrén	15
Octubre 2020	22207	San Juan de Plan	7
Octubre 2020	22208	Santa Cilia	11
Octubre 2020	22209	Santa Cruz de la Serós	11
Octubre 2020	22212	Santaliestra y San Quílez	2
