Año	Municipio código	Municipio nombre	Total	VC Residencial	VC Almacén, estacionamiento	VC Comercial	VC Ocio, hostelería	VC Industrial	VC Cultural	VC Deportivo	VC Oficinas	VC Edificios singulares	VC Religioso	VC Espectáculos	VC Sin definir	VC Suelo vacante	VC Sanidad, benefic
2003	22001	Abiego	3124	2200											924		
2003	22002	Abizanda	11217	543											10674		
2003	22003	Adahuesca	1821	1394											427		
2003	22004	Agüero	1762	1315											447		
2003	22006	Aísa	54710	37306											17404		
2003	22007	Albalate de Cinca	10985	7486											3499		
2003	22008	Albalatillo	3063	1853											1210		
2003	22009	Albelda	13786	6825											6961		
2003	22011	Albero Alto	1261	723											538		
2003	22012	Albero Bajo	1589	604											985		
2003	22013	Alberuela de Tubo	2995	1847											1148		
2003	22014	Alcalá de Gurrea	29800	2828											26972		
2003	22015	Alcalá del Obispo	5549	3022											2527		
2003	22016	Alcampell	13332	6974											6358		
2003	22017	Alcolea de Cinca	18039	10392											7647		
2003	22018	Alcubierre	3937	2841											1096		
2003	22019	Alerre	3582	2597											985		
2003	22020	Alfántega	920	712											208		
2003	22021	Almudévar	26919	15485											11434		
2003	22022	Almunia de San Juan	6945	4189											2756		
2003	22023	Almuniente	4276	3104											1172		
2003	22024	Alquézar	3896	2488											1408		
2003	22025	Altorricón	15135	10838											4297		
2003	22027	Angüés	5197	2549											2648		
2003	22028	Ansó	6541	4099											2442		
2003	22029	Antillón	813	480											333		
2003	22032	Aragüés del Puerto	2387	1363											1024		
2003	22035	Arén	4314	2606											1708		
2003	22036	Argavieso	888	609											279		
2003	22037	Arguis	3760	2381											1379		
2003	22039	Ayerbe	14220	9697											4523		
2003	22040	Azanuy-Alins	2333	1631											702		
2003	22041	Azara	1451	1035											416		
2003	22042	Azlor	1337	1046											291		
2003	22043	Baells	1943	1090											853		
2003	22044	Bailo	2779	1757											1022		
2003	22045	Baldellou	3818	977											2841		
2003	22046	Ballobar	14542	12105											2437		
2003	22047	Banastás	3442	2263											1179		
2003	22048	Barbastro	376441	215239											161202		
2003	22049	Barbués	1177	726											451		
2003	22050	Barbuñales	1217	1055											162		
2003	22051	Bárcabo	1485	985											500		
2003	22052	Belver de Cinca	11091	8117											2974		
2003	22053	Benabarre	14841	9291											5550		
2003	22054	Benasque	96940	49240											47700		
2003	22055	Berbegal	2954	2300											654		
2003	22057	Bielsa	14934	5341											9593		
2003	22058	Bierge	2737	1822											915		
2003	22059	Biescas	147905	99211											48694		
2003	22060	Binaced	17644	11622											6022		
2003	22061	Binéfar	151907	101650											50257		
2003	22062	Bisaurri	1474	850											624		
2003	22063	Biscarrués	2516	1074											1442		
2003	22064	Blecua y Torres	1800	1158											642		
2003	22066	Boltaña	17448	9489											7959		
2003	22067	Bonansa	2017	313											1704		
2003	22068	Borau	1029	923											106		
2003	22069	Broto	11087	6736											4351		
2003	22072	Caldearenas	4336	2125											2211		
2003	22074	Campo	8549	3475											5074		
2003	22075	Camporrells	2066	1510											556		
2003	22076	Canal de Berdún	6220	3918											2302		
2003	22077	Candasnos	29730	7200											22530		
2003	22078	Canfranc	31274	17869											13405		
2003	22079	Capdesaso	2089	1202											887		
2003	22080	Capella	3058	2082											976		
