Año	Municipio código	Municipio nombre	Depuradoras	Habitantes equivalentes	Colectores
2016	22001	Abiego	0		0
2016	22002	Abizanda	0		0
2016	22003	Adahuesca	0		0
2016	22004	Agüero	0		0
2016	22006	Aísa	0		0
2016	22007	Albalate de Cinca	1	2000	0
2016	22008	Albalatillo	0		0
2016	22009	Albelda	0	3384	1
2016	22011	Albero Alto	0		0
2016	22012	Albero Bajo	0		0
2016	22013	Alberuela de Tubo	0		0
2016	22014	Alcalá de Gurrea	0		0
2016	22015	Alcalá del Obispo	0		0
2016	22016	Alcampell	0	3384	1
2016	22017	Alcolea de Cinca	1	1667	0
2016	22018	Alcubierre	0		0
2016	22019	Alerre	0		0
2016	22020	Alfántega	0		0
2016	22021	Almudévar	1	3384	0
2016	22022	Almunia de San Juan	1	1042	0
2016	22023	Almuniente	0		0
2016	22024	Alquézar	0		0
2016	22025	Altorricón	1	3333	0
2016	22027	Angüés	0		0
2016	22028	Ansó	0		0
2016	22029	Antillón	0		0
2016	22032	Aragüés del Puerto	0		0
2016	22035	Arén	0		0
2016	22036	Argavieso	0		0
2016	22037	Arguis	0		0
2016	22039	Ayerbe	1	5500	0
2016	22040	Azanuy-Alins	0		0
2016	22041	Azara	0		0
2016	22042	Azlor	0		0
2016	22043	Baells	0		0
2016	22044	Bailo	0		0
2016	22045	Baldellou	0		0
2016	22046	Ballobar	1	1650	0
2016	22047	Banastás	0		0
2016	22048	Barbastro	1	25000	0
2016	22049	Barbués	0		0
2016	22050	Barbuñales	0		0
2016	22051	Bárcabo	0		0
2016	22052	Belver de Cinca	1	2600	0
2016	22053	Benabarre	1	1400	0
2016	22054	Benasque	0		0
2016	22055	Berbegal	1	1100	0
2016	22057	Bielsa	0		0
2016	22058	Bierge	0		0
2016	22059	Biescas	8	12850	1
2016	22060	Binaced	1	2200	0
2016	22061	Binéfar	1	40692	0
2016	22062	Bisaurri	0		0
2016	22063	Biscarrués	0		0
2016	22064	Blecua y Torres	0		0
2016	22066	Boltaña	0		0
2016	22067	Bonansa	0		0
2016	22068	Borau	0		0
2016	22069	Broto	0		0
2016	22072	Caldearenas	0		0
2016	22074	Campo	1	1500	0
2016	22075	Camporrells	0		0
2016	22076	Canal de Berdún	0		0
2016	22077	Candasnos	1	1333	0
2016	22078	Canfranc	0		0
2016	22079	Capdesaso	0		0
2016	22080	Capella	0		0
2016	22081	Casbas de Huesca	0		0
2016	22082	Castejón del Puente	0		0
2016	22083	Castejón de Monegros	1	1188	0
