Año	Municipio código	Municipio nombre	Contenedores de vidrio	Kg vidrio doméstico
2016	22001	Abiego		
2016	22002	Abizanda		
2016	22003	Adahuesca		
2016	22004	Agüero		
2016	22006	Aísa		
2016	22007	Albalate de Cinca		
2016	22008	Albalatillo		
2016	22009	Albelda		
2016	22011	Albero Alto		
2016	22012	Albero Bajo		
2016	22013	Alberuela de Tubo		
2016	22014	Alcalá de Gurrea		
2016	22015	Alcalá del Obispo		
2016	22016	Alcampell		
2016	22017	Alcolea de Cinca		
2016	22018	Alcubierre		
2016	22019	Alerre		
2016	22020	Alfántega		
2016	22021	Almudévar		
2016	22022	Almunia de San Juan		
2016	22023	Almuniente		
2016	22024	Alquézar		
2016	22025	Altorricón		
2016	22027	Angüés		
2016	22028	Ansó		
2016	22029	Antillón		
2016	22032	Aragüés del Puerto		
2016	22035	Arén		
2016	22036	Argavieso		
2016	22037	Arguis		
2016	22039	Ayerbe		
2016	22040	Azanuy-Alins		
2016	22041	Azara		
2016	22042	Azlor		
2016	22043	Baells		
2016	22044	Bailo		
2016	22045	Baldellou		
2016	22046	Ballobar		
2016	22047	Banastás		
2016	22048	Barbastro		
2016	22049	Barbués		
2016	22050	Barbuñales		
2016	22051	Bárcabo		
2016	22052	Belver de Cinca		
2016	22053	Benabarre		
2016	22054	Benasque		
2016	22055	Berbegal		
2016	22057	Bielsa		
2016	22058	Bierge		
2016	22059	Biescas		
2016	22060	Binaced		
2016	22061	Binéfar		
2016	22062	Bisaurri		
2016	22063	Biscarrués		
2016	22064	Blecua y Torres		
2016	22066	Boltaña		
2016	22067	Bonansa		
2016	22068	Borau		
2016	22069	Broto		
2016	22072	Caldearenas		
2016	22074	Campo		
2016	22075	Camporrells		
2016	22076	Canal de Berdún		
2016	22077	Candasnos		
2016	22078	Canfranc		
2016	22079	Capdesaso		
2016	22080	Capella		
2016	22081	Casbas de Huesca		
2016	22082	Castejón del Puente		
2016	22083	Castejón de Monegros		
2016	22084	Castejón de Sos		
2016	22085	Castelflorite		
2016	22086	Castiello de Jaca		
2016	22087	Castigaleu		
2016	22088	Castillazuelo		
2016	22089	Castillonroy		
2016	22090	Colungo		
2016	22094	Chalamera		
2016	22095	Chía		
2016	22096	Chimillas		
2016	22099	Esplús		
2016	22102	Estada		
2016	22103	Estadilla		
2016	22105	Estopiñán del Castillo		
2016	22106	Fago		
2016	22107	Fanlo		
2016	22109	Fiscal		
2016	22110	Fonz		
2016	22111	Foradada del Toscar		
2016	22112	Fraga		
2016	22113	Fueva (La)		
2016	22114	Gistaín		
2016	22115	Grado (El)		
