Año	Temporalidad	Sector Código	Sector Descripción	Nº Accidentes	CCAA
2015	Indefinido	1	Agricultura, ganadería y pesca	14	Aragón
2015	Temporal	1	Agricultura, ganadería y pesca	17	Aragón
2015	Sin clasificar	1	Agricultura, ganadería y pesca	2	Aragón
2015	Indefinido	2	Industria y energía	171	Aragón
2015	Temporal	2	Industria y energía	73	Aragón
2015	Indefinido	3	Construcción	16	Aragón
2015	Temporal	3	Construcción	31	Aragón
2015	Sin clasificar	3	Construcción	1	Aragón
2015	Indefinido	4	Servicios	898	Aragón
2015	Temporal	4	Servicios	405	Aragón
2015	Sin clasificar	4	Servicios	1	Aragón
2014	Indefinido	1	Agricultura, ganadería y pesca	13	Aragón
2014	Temporal	1	Agricultura, ganadería y pesca	31	Aragón
2014	Indefinido	2	Industria y energía	136	Aragón
2014	Temporal	2	Industria y energía	48	Aragón
2014	Indefinido	3	Construcción	38	Aragón
2014	Temporal	3	Construcción	20	Aragón
2014	Sin clasificar	3	Construcción	2	Aragón
2014	Indefinido	4	Servicios	871	Aragón
2014	Temporal	4	Servicios	386	Aragón
2014	Sin clasificar	4	Servicios	3	Aragón
2013	Indefinido	1	Agricultura, ganadería y pesca	22	Aragón
2013	Temporal	1	Agricultura, ganadería y pesca	26	Aragón
2013	Sin clasificar	1	Agricultura, ganadería y pesca	1	Aragón
2013	Indefinido	2	Industria y energía	177	Aragón
2013	Temporal	2	Industria y energía	40	Aragón
2013	Indefinido	3	Construcción	31	Aragón
2013	Temporal	3	Construcción	20	Aragón
2013	Indefinido	4	Servicios	920	Aragón
2013	Temporal	4	Servicios	377	Aragón
2013	Sin clasificar	4	Servicios	1	Aragón
2012	Indefinido	1	Agricultura, ganadería y pesca	6	Aragón
2012	Temporal	1	Agricultura, ganadería y pesca	6	Aragón
2012	Indefinido	2	Industria y energía	166	Aragón
2012	Temporal	2	Industria y energía	49	Aragón
2012	Indefinido	3	Construcción	45	Aragón
2012	Temporal	3	Construcción	23	Aragón
2012	Indefinido	4	Servicios	728	Aragón
2012	Temporal	4	Servicios	346	Aragón
2012	Sin clasificar	4	Servicios	1	Aragón
2011	Indefinido	1	Agricultura, ganadería y pesca	7	Aragón
2011	Temporal	1	Agricultura, ganadería y pesca	24	Aragón
2011	Indefinido	2	Industria y energía	222	Aragón
2011	Temporal	2	Industria y energía	65	Aragón
2011	Indefinido	3	Construcción	43	Aragón
2011	Temporal	3	Construcción	49	Aragón
2011	Indefinido	4	Servicios	841	Aragón
2011	Temporal	4	Servicios	381	Aragón
2011	Sin clasificar	4	Servicios	2	Aragón
2010	Indefinido	1	Agricultura, ganadería y pesca	15	Aragón
2010	Temporal	1	Agricultura, ganadería y pesca	20	Aragón
2010	Sin clasificar	1	Agricultura, ganadería y pesca	2	Aragón
2010	Indefinido	2	Industria y energía	292	Aragón
2010	Temporal	2	Industria y energía	83	Aragón
2010	Indefinido	3	Construcción	60	Aragón
2010	Temporal	3	Construcción	72	Aragón
2010	Indefinido	4	Servicios	914	Aragón
2010	Temporal	4	Servicios	475	Aragón
2009	Indefinido	1	Agricultura, ganadería y pesca	15	Aragón
2009	Temporal	1	Agricultura, ganadería y pesca	18	Aragón
2009	Indefinido	2	Industria y energía	239	Aragón
2009	Temporal	2	Industria y energía	84	Aragón
2009	Indefinido	3	Construcción	76	Aragón
2009	Temporal	3	Construcción	88	Aragón
2009	Sin clasificar	3	Construcción	1	Aragón
2009	Indefinido	4	Servicios	883	Aragón
2009	Temporal	4	Servicios	426	Aragón
2009	Sin clasificar	4	Servicios	3	Aragón
