Nº de habitaciones de la vivienda	Municipio codigo	Provincia codigo	Municipio nombre	Nº habitaciones
1 habitación	22002	22	Abizanda	3,6575242113
1 habitación	22012	22	Albero Bajo	1,6943303822
1 habitación	22020	22	Alfántega	1,5362865324
1 habitación	22021	22	Almudévar	4,2924290072
1 habitación	22024	22	Alquézar	2,4961260391
1 habitación	22037	22	Arguis	3,2703432477
1 habitación	22039	22	Ayerbe	5,4531263031
1 habitación	22048	22	Barbastro	61,621656715
1 habitación	22054	22	Benasque	5,3210243885
1 habitación	22055	22	Berbegal	2,1442813961
1 habitación	22060	22	Binaced	6,733317941
1 habitación	22061	22	Binéfar	10,942745554
1 habitación	22066	22	Boltaña	3,2441077573
1 habitación	22069	22	Broto	2,1938349913
1 habitación	22074	22	Campo	2,0488066392
1 habitación	22079	22	Capdesaso	2,0124451732
1 habitación	22084	22	Castejón de Sos	12,7066298578
1 habitación	22090	22	Colungo	1,271180749
1 habitación	22094	22	Chalamera	1,4626349203
1 habitación	22110	22	Fonz	2,7821845353
1 habitación	22112	22	Fraga	55,17729359
1 habitación	22116	22	Grañén	8,1071901369
1 habitación	22127	22	Igriés	3,0854255251
1 habitación	22129	22	Isábena	2,1242215048
1 habitación	22130	22	Jaca	113,3014900984
1 habitación	22131	22	Jasa	1,5993124183
1 habitación	22156	22	Monflorite-Lascasas	2,546872026
1 habitación	22170	22	Panticosa	2,7251494256
1 habitación	22199	22	Sabiñánigo	12,44104719
1 habitación	22204	22	Sallent de Gállego	32,3733305901
1 habitación	22206	22	Sangarrén	1,2998765906
1 habitación	22215	22	Seira	2,8256840788
1 habitación	22225	22	Tamarite de Litera	4,3125326028
1 habitación	22244	22	Valle de Lierp	1,6168781823
1 habitación	22250	22	Villanúa	3,6039809498
1 habitación	22252	22	Yebra de Basa	1,5299206485
1 habitación	22254	22	Zaidín	2,9771364641
1 habitación	22901	22	Valle de Hecho	6,5924694359
1 habitación	22905	22	Lupiñén-Ortilla	2,3513014041
1 habitación	22909	22	Vencillón	3,3887256274
1 habitación	44002	44	Abejuela	1,670884069
1 habitación	44008	44	Albalate del Arzobispo	9,6463856141
1 habitación	44009	44	Albarracín	6,5956178363
1 habitación	44010	44	Albentosa	1,2302348298
1 habitación	44014	44	Alcorisa	5,3934119916
1 habitación	44050	44	Calamocha	6,4758787622
1 habitación	44053	44	Camañas	1,6354996239
1 habitación	44055	44	Camarillas	3,4596133277
1 habitación	44076	44	Cella	5,7761729416
1 habitación	44094	44	Cuevas Labradas	1,2366257674
1 habitación	44113	44	Fuentes de Rubielos	1,6189351933
1 habitación	44118	44	Ginebrosa (La)	1,2579750363
1 habitación	44121	44	Gúdar	3,103059895
1 habitación	44141	44	Lledó	1,0153460161
1 habitación	44143	44	Manzanera	5,6218578519
1 habitación	44152	44	Monforte de Moyuela	1,319688596
1 habitación	44165	44	Nogueruelas	3,8153249974
1 habitación	44171	44	Olba	2,1868529976
1 habitación	44206	44	San Agustín	1,1423763663
1 habitación	44216	44	Teruel	144,509299171
1 habitación	44221	44	Torrecilla de Alcañiz	1,3872254948
1 habitación	44225	44	Torre del Compte	1,1416004761
1 habitación	44245	44	Valdeltormo	1,0130222014
1 habitación	50008	50	Alagón	9,8730316628
1 habitación	50025	50	Almunia de Doña Godina (La)	7,2354517698
1 habitación	50039	50	Azuara	2,6405080744
1 habitación	50043	50	Bárboles	1,6708113511
1 habitación	50055	50	Borja	14,217389938
1 habitación	50060	50	Bulbuente	1,865543379
1 habitación	50075	50	Castejón de Alarba	1,5375778044
1 habitación	50094	50	Daroca	6,776064652
1 habitación	50095	50	Ejea de los Caballeros	11,842497896
1 habitación	50098	50	Encinacorba	1,1348949222
1 habitación	50102	50	Fabara	4,2032222313
1 habitación	50105	50	Fayón	2,9449496552
1 habitación	50110	50	Frasno (El)	2,2076873164
1 habitación	50119	50	Gelsa	1,6875931988
1 habitación	50130	50	Jarque	1,6928733148
1 habitación	50160	50	Mallén	8,3132031325
1 habitación	50165	50	Mequinenza	12,458199703
1 habitación	50182	50	Muela (La)	15,3033230401
1 habitación	50189	50	Nonaspe	2,2064351956
1 habitación	50202	50	Paracuellos de la Ribera	1,0564172771
1 habitación	50217	50	Pradilla de Ebro	2,3534561069
1 habitación	50222	50	Quinto	5,4646441662
1 habitación	50227	50	Romanos	2,5278923208
1 habitación	50235	50	San Mateo de Gállego	6,8449685671
1 habitación	50243	50	Sestrica	5,5558357734
1 habitación	50251	50	Tarazona	14,224061831
1 habitación	50261	50	Torrellas	2,2577453913
1 habitación	50267	50	Uncastillo	2,1958260156
1 habitación	50276	50	Valpalmas	1,778284598
1 habitación	50284	50	Villafeliche	1,0649699985
1 habitación	50291	50	Villar de los Navarros	2,5079056657
1 habitación	50297	50	Zaragoza	973,9271835199
1 habitación	50298	50	Zuera	20,484874931
1 habitación	50901	50	Biel	1,5730693997
2 habitaciones	22001	22	Abiego	2,9958503122
2 habitaciones	22003	22	Adahuesca	1,9234919261
2 habitaciones	22007	22	Albalate de Cinca	2,7152546258
2 habitaciones	22008	22	Albalatillo	1,2715718035
2 habitaciones	22009	22	Albelda	2,6270745768
2 habitaciones	22011	22	Albero Alto	2,299729396
2 habitaciones	22013	22	Alberuela de Tubo	1,8527509112
2 habitaciones	22014	22	Alcalá de Gurrea	4,1208136438
2 habitaciones	22017	22	Alcolea de Cinca	17,6711627461
2 habitaciones	22019	22	Alerre	3,3000532272
2 habitaciones	22021	22	Almudévar	20,5940844699
2 habitaciones	22022	22	Almunia de San Juan	1,0913572077
2 habitaciones	22024	22	Alquézar	13,4548814387
2 habitaciones	22025	22	Altorricón	11,0753443441
2 habitaciones	22027	22	Angüés	7,5178251031
2 habitaciones	22028	22	Ansó	8,762653756
2 habitaciones	22032	22	Aragüés del Puerto	2,6445952518
2 habitaciones	22035	22	Arén	2,7658193267
2 habitaciones	22039	22	Ayerbe	14,1366109544
2 habitaciones	22040	22	Azanuy-Alins	2,6749370429
2 habitaciones	22041	22	Azara	1,1041089466
2 habitaciones	22043	22	Baells	3,3140322266
2 habitaciones	22044	22	Bailo	1,0600294176
2 habitaciones	22048	22	Barbastro	175,557207413
2 habitaciones	22051	22	Bárcabo	3,3723568866
2 habitaciones	22052	22	Belver de Cinca	5,2455459716
2 habitaciones	22053	22	Benabarre	10,5665690079
2 habitaciones	22054	22	Benasque	138,5973205076
2 habitaciones	22057	22	Bielsa	9,5859825125
2 habitaciones	22058	22	Bierge	5,1739835236
2 habitaciones	22059	22	Biescas	66,6055566053
2 habitaciones	22061	22	Binéfar	33,618399294
2 habitaciones	22063	22	Biscarrués	1,7458186925
2 habitaciones	22066	22	Boltaña	14,8836349915
2 habitaciones	22067	22	Bonansa	2,6239921445
2 habitaciones	22068	22	Borau	4,1902212834
2 habitaciones	22069	22	Broto	5,4700159311
2 habitaciones	22074	22	Campo	6,017972855
2 habitaciones	22075	22	Camporrells	0,9538987083
2 habitaciones	22077	22	Candasnos	1,9471184508
2 habitaciones	22078	22	Canfranc	77,2398752939
2 habitaciones	22080	22	Capella	2,9754678743
2 habitaciones	22081	22	Casbas de Huesca	3,8873736743
2 habitaciones	22084	22	Castejón de Sos	16,74377033
2 habitaciones	22086	22	Castiello de Jaca	7,828437796
2 habitaciones	22089	22	Castillonroy	3,3770801004
2 habitaciones	22090	22	Colungo	1,0012456128
2 habitaciones	22103	22	Estadilla	2,6204696723
2 habitaciones	22107	22	Fanlo	4,3975756023
2 habitaciones	22110	22	Fonz	6,016437647
2 habitaciones	22111	22	Foradada del Toscar	1,2062552086
2 habitaciones	22112	22	Fraga	147,4975467712
2 habitaciones	22113	22	Fueva (La)	1,8239739027
2 habitaciones	22114	22	Gistaín	2,6189539337
2 habitaciones	22115	22	Grado (El)	8,1851721483
2 habitaciones	22116	22	Grañén	12,7213630388
2 habitaciones	22117	22	Graus	54,5196183455
2 habitaciones	22119	22	Gurrea de Gállego	4,2672607641
2 habitaciones	22125	22	Huesca	574,8825752949
2 habitaciones	22126	22	Ibieca	2,5458497568
2 habitaciones	22127	22	Igriés	5,0509273267
2 habitaciones	22128	22	Ilche	2,8422859166
2 habitaciones	22129	22	Isábena	4,4920548526
2 habitaciones	22130	22	Jaca	229,9727958116
2 habitaciones	22131	22	Jasa	2,6384268264
2 habitaciones	22133	22	Labuerda	5,7985502263
2 habitaciones	22135	22	Laluenga	1,2322593228
2 habitaciones	22137	22	Lanaja	10,09804524
2 habitaciones	22139	22	Laperdiguera	1,1137689092
2 habitaciones	22141	22	Lascellas-Ponzano	1,5950114512
2 habitaciones	22142	22	Lascuarre	2,0185182863
2 habitaciones	22144	22	Laspuña	4,3749643312
2 habitaciones	22150	22	Loporzano	17,6982552993
2 habitaciones	22151	22	Loscorrales	4,0593984665
2 habitaciones	22156	22	Monflorite-Lascasas	2,1115333599
2 habitaciones	22157	22	Montanuy	4,4251850999
2 habitaciones	22158	22	Monzón	142,2938591742
2 habitaciones	22160	22	Naval	3,8029719601
2 habitaciones	22165	22	Ontiñena	8,8531645538
2 habitaciones	22167	22	Osso de Cinca	1,3327982434
2 habitaciones	22170	22	Panticosa	27,4243607903
2 habitaciones	22172	22	Peñalba	3,8502574105
2 habitaciones	22173	22	Peñas de Riglos (Las)	4,2290431534
2 habitaciones	22174	22	Peralta de Alcofea	5,057547725
2 habitaciones	22175	22	Peralta de Calasanz	3,3371813519
2 habitaciones	22176	22	Peraltilla	5,084452393
2 habitaciones	22182	22	Plan	5,8246201894
2 habitaciones	22187	22	Puebla de Castro (La)	4,4433268498
2 habitaciones	22188	22	Puente de Montañana	1,209492949
2 habitaciones	22189	22	Puértolas	3,2407682243
2 habitaciones	22190	22	Pueyo de Araguás (El)	11,2719886426
2 habitaciones	22193	22	Pueyo de Santa Cruz	1,6246934626
2 habitaciones	22199	22	Sabiñánigo	211,6621384668
2 habitaciones	22200	22	Sahún	10,6187497396
2 habitaciones	22203	22	Salillas	2,1489156142
2 habitaciones	22204	22	Sallent de Gállego	62,7002556446
2 habitaciones	22205	22	San Esteban de Litera	2,5134898869
2 habitaciones	22206	22	Sangarrén	1,0565950948
2 habitaciones	22207	22	San Juan de Plan	1,3024135309
2 habitaciones	22220	22	Sesa	0,988126429
2 habitaciones	22221	22	Sesué	9,8603380273
2 habitaciones	22222	22	Siétamo	1,9524676073
2 habitaciones	22223	22	Sopeira	2,764083305
2 habitaciones	22225	22	Tamarite de Litera	12,0333249115
2 habitaciones	22226	22	Tardienta	2,9216018747
2 habitaciones	22227	22	Tella-Sin	8,7288484133
2 habitaciones	22229	22	Tolva	2,6358819148
2 habitaciones	22232	22	Torralba de Aragón	1,5524055751
2 habitaciones	22234	22	Torrente de Cinca	6,369455291
2 habitaciones	22235	22	Torres de Alcanadre	1,2618280585
2 habitaciones	22236	22	Torres de Barbués	1,1346034895
2 habitaciones	22239	22	Tramaced	1,4319555948
2 habitaciones	22246	22	Beranuy	0,9764866111
2 habitaciones	22247	22	Viacamp y Litera	6,0379715321
2 habitaciones	22248	22	Vicién	1,7116933027
2 habitaciones	22249	22	Villanova	1,9127463574
2 habitaciones	22250	22	Villanúa	21,1709039473
2 habitaciones	22251	22	Villanueva de Sigena	2,495189371
